device_name,english_phrase,service_name
blinds.kitchen,"Could you raise the kitchen blinds",open
blinds.kitchen,"Lower the kitchen blinds",close
blinds.kitchen,"Stop the kitchen blinds where they are",stop
blinds.kitchen,"Switch the state of the kitchen blinds",toggle
blinds.living_room,"Close the living room blinds",close
blinds.living_room,"Open the living room blinds",open
blinds.living_room,"Stop adjusting the living room blinds",stop
blinds.living_room,"Toggle the living room blinds",toggle
blinds.master_bedroom,"Lift the master bedroom blinds",open
blinds.master_bedroom,"Please halt the master bedroom blinds",stop
blinds.master_bedroom,"Reverse the master bedroom blinds",toggle
blinds.master_bedroom,"Shut the master bedroom blinds",close
fan.attic_1,"Disable the attic fan",turn_off
fan.attic_1,"Increase speed of the attic fan",increase_speed
fan.attic_1,"Slow down the attic fan",decrease_speed
fan.attic_1,"Slow down the attic fan",decrease_speed
fan.attic_1,"Turn down the attic fan",decrease_speed
fan.attic_1|fan.attic_2,"Increase speed of the attic fans",increase_speed|increase_speed
fan.attic_1|fan.attic_2,"Ramp up both fans in the attic",increase_speed|increase_speed
fan.attic_1|fan.attic_2,"Turn up the fans in the attic",increase_speed|increase_speed
fan.attic_1|fan.attic_2|fan.attic_3,"Turn on all the fans in the attic",turn_on|turn_on|turn_on
fan.attic_1|fan.basement,"Disable the attic and basement fans",turn_off|turn_off
fan.attic_1|fan.basement,"Disable the fans in the attic and basement",turn_off|turn_off
fan.attic_1|fan.basement,"Turn off the fans in the attic and basement",turn_off|turn_off
fan.attic_2,"Toggle the attic fan",toggle
fan.attic_2,"Toggle the attic fan",toggle
fan.attic,"Accelerate the fan in the attic",increase_speed
fan.attic,"Change the fan status in the attic",toggle
fan.attic,"Slow down the fan in the attic",decrease_speed
fan.basement,"Toggle the basement fan",toggle
fan.basement,"Toggle the basement fan",toggle
fan.bathroom,"Activate the bathroom fan",turn_on
fan.bathroom,"Turn on the bathroom fan",turn_on
fan.bathroom,"Turn on the bathroom fan",turn_on
fan.bedroom_master,"Activate the master bedroom fan",turn_on
fan.bedroom_master,"Deactivate the master bedroom fan",turn_off
fan.bedroom_master,"Ramp up the master bedroom fan speed",increase_speed
fan.bedroom_master,"Slow down the master bedroom fan",decrease_speed
fan.bedroom_master,"Switch the state of the master bedroom fan",toggle
fan.bedroom,"Toggle the bedroom fan",toggle
fan.bedroom,"Toggle the bedroom fan",toggle
fan.bedroom,"Toggle the bedroom fan",toggle
fan.dining_area,"Please switch off the dining area fan",turn_off
fan.dining_area,"Please switch on the dining area fan",turn_on
fan.dining_room,"Switch off the dining room fan",turn_off
fan.dining_table_above,"Please toggle the fan above the dining table",toggle
fan.driveway,"Flip the driveway fan",toggle
fan.garage,"Flip the fan in the garage",toggle
fan.garage,"Shut down the garage fan",turn_off
fan.garage,"Switch off the garage fan",turn_off
fan.garage,"Switch off the garage fan",turn_off
fan.garage,"Turn down the fan in the garage",decrease_speed
fan.garage,"Turn on the garage fan",turn_on
fan.garage,"Turn up the fan in the garage",increase_speed
fan.garage|light.garage,"Turn on the fan in the garage and switch off the light",turn_on|turn_off
fan.guest_room,"Can you toggle the fan in the guest room",toggle
fan.guest_room,"Decrease the fan speed in the guest room",decrease_speed
fan.guest_room,"Increase the fan speed in the guest room",increase_speed
fan.guest_room,"Switch off the guest room fan",turn_off
fan.hallway,"Boost the fan speed in the hallway",increase_speed
fan.hallway,"Enable the hallway fan",turn_on
fan.hallway,"Lower the fan speed in the hallway",decrease_speed
fan.hallway,"Switch the state of the fan in the hallway",toggle
fan.hallway|fan.kitchen,"Activate the hallway and kitchen fans",turn_on|turn_on
fan.hallway|fan.kitchen,"Enable the hallway and kitchen fans",turn_on|turn_on
fan.hallway|fan.kitchen,"Turn on the hallway and kitchen fans",turn_on|turn_on
fan.hallway|fan.study,"Activate the fans in the hallway and study",turn_on|turn_on
fan.hallway|fan.study,"Switch on the fans in the hallway and study",turn_on|turn_on
fan.hallway|light.hallway,"Toggle both the fan and the light in the hallway",toggle|toggle
fan.kitchen,"Enable the kitchen fan",turn_on
fan.kitchen,"Slow down the kitchen fan",decrease_speed
fan.kitchen,"Slow down the kitchen fan",decrease_speed
fan.kitchen,"Switch off the kitchen fan",turn_off
fan.kitchen,"Switch off the kitchen fan",turn_off
fan.kitchen,"Toggle the kitchen fan",toggle
fan.kitchen,"Turn down the kitchen fan",decrease_speed
fan.kitchen|fan.living_room,"Dim the fans in the kitchen and living room",decrease_speed|decrease_speed
fan.kitchen|fan.living_room,"Slow down the fans in the kitchen and living room",decrease_speed|decrease_speed
fan.kitchen|fan.study,"Enable the fans in the kitchen and study",turn_on|turn_on
fan.living_room_1|fan.living_room_2|light.living_room,"Activate the fans and lights in the living room",turn_on|turn_on|turn_on
fan.living_room,"Decrease the speed of the living room fan",decrease_speed
fan.living_room,"Increase the speed of the living room fan",increase_speed
fan.living_room,"Start the living room fan",turn_on
fan.living_room,"Toggle the fan in the living room",toggle
fan.living_room,"Turn down the living room fan",decrease_speed
fan.living_room,"Turn off the living room fan",turn_off
fan.living_room,"Turn off the living room fan",turn_off
fan.living_room,"Turn on the living room fan",turn_on
fan.living_room,"Turn on the living room fan",turn_on
fan.living_room|fan.bedroom,"Activate both living room and bedroom fans",turn_on|turn_on
fan.living_room|fan.bedroom,"Activate the living room and bedroom fans",turn_on|turn_on
fan.living_room|fan.bedroom,"Activate the living room fan and the bedroom fan",turn_on|turn_on
fan.living_room|fan.dining_room,"Toggle the living room and dining room fans",toggle|toggle
fan.living_room|fan.kitchen,"Slow down the fans in the living room and kitchen",decrease_speed|decrease_speed
fan.living_room|light.living_room_1,"Slow down the living room fan and turn off the adjacent light",decrease_speed|turn_off
fan.living_room|light.living_room_2,"Decrease fan speed in the living room and turn off light two",decrease_speed|turn_off
fan.office,"Could you disable the office fan",turn_off
fan.office,"Could you enable the office fan",turn_on
fan.office,"Toggle the office fan",toggle
fan.office,"Toggle the office fan",toggle
fan.office,"Toggle the office fan",toggle
fan.office,"Turn off the office fan",turn_off
fan.office,"Turn off the office fan",turn_off
fan.outdoor,"Toggle the outdoor fan",toggle
fan.patio,"Turn off the patio fan",turn_off
fan.pool,"Change the status of the pool fan",toggle
fan.shed,"Switch the shed fan on or off",toggle
fan.study_1|fan.study_2,"Increase the speed of both fans in the study",increase_speed|increase_speed
fan.study,"Activate the study fan",turn_on
fan.study,"Alter the fan state in the study",toggle
fan.study,"Ramp up the fan speed in the study",increase_speed
fan.study,"Reduce the fan speed in the study",decrease_speed
fan.study,"Switch off the study fan",turn_off
fan.study,"Switch on the study fan",turn_on
fan.study,"Turn off the study fan",turn_off
fan.study,"Turn off the study fan",turn_off
fan.study|fan.bathroom,"Activate the study and bathroom fans",turn_on|turn_on
fan.study|fan.bathroom,"Enable the study and bathroom fans",turn_on|turn_on
fan.study|fan.bathroom,"Switch on the study and bathroom fans",turn_on|turn_on
garage_door.basement,"Please raise the basement garage door",open
garage_door.bike_storage,"Activate the bike storage garage",open
garage_door.bike_storage,"Deactivate the bike storage garage",close
garage_door.main,"Close the main garage door",close
garage_door.main,"Open the main garage door",open
garage_door.main,"Stop the main garage door",stop
garage_door.main,"Toggle the main garage door",toggle
garage_door.one_car,"Make sure the one car garage is closed",close
garage_door.side,"Could you lift the side garage door",open
garage_door.side,"Halt the side garage door",stop
garage_door.side,"Lower the side garage door",close
garage_door.side,"Switch the state of the side garage door",toggle
garage_door.two_car,"Open the two car garage",open
light.attic,"Change the light status in the attic",toggle
light.bathroom_1,"Could you illuminate the bathroom",turn_on
light.bathroom_1,"Please extinguish the bathroom light",turn_off
light.bathroom,"Activate the bathroom light",turn_on
light.bathroom,"Switch off the bathroom light",turn_off
light.bathroom,"Turn off the bathroom light",turn_off
light.bathroom,"Turn off the bathroom light",turn_off
light.bathroom,"Turn off the bathroom light",turn_off
light.bathroom|fan.bathroom,"Switch on the bathroom light and turn off the fan",turn_on|turn_off
light.bathroom|fan.bathroom,"Turn on the bathroom light and switch off the fan",turn_on|turn_off
light.bathroom|fan.kitchen,"Switch on the bathroom light and turn off the kitchen fan",turn_on|turn_off
light.bathroom|light.guest_room,"Deactivate the bathroom and guest room lights",turn_off|turn_off
light.bathroom|light.kitchen_1,"Deactivate the bathroom and kitchen lights",turn_off|turn_off
light.bathroom|light.kitchen_1,"Switch off the bathroom and kitchen lights",turn_off|turn_off
light.bathroom|light.kitchen_1,"Turn on both the bathroom and kitchen lights",turn_on|turn_on
light.bathroom|light.kitchen_2,"Turn on both the bathroom and kitchen lights",turn_on|turn_on
light.bedroom_1,"Activate the bedroom light",turn_on
light.bedroom_1,"Deactivate the bedroom light",turn_off
