"service","device_type","response_1","response_2","response_3"
"turn_on","light","Turning on the light for you.","Sure, I'll turn on the light now.","I'll go ahead and turn the light on."
"turn_off","light","Turning off the light as requested.","I'll switch off the light for you.","Sure, turning off the light."
"toggle","light","Toggling the light for you.","Switching the light's state now.","I'll toggle the light for you."
"turn_on","fan","Turning on the fan for you.","I'll get the fan going for you.","Sure, turning on the fan now."
"turn_off","fan","Switching off the fan as requested.","I'll turn off the fan for you.","Okay, turning off the fan."
"toggle","fan","I'll toggle the fan's state for you.","Toggling the fan now.","Switching the fan's state for you."
"increase_speed","fan","Increasing the fan speed for you.","Sure, speeding up the fan now.","I'll go ahead and make the fan faster."
"decrease_speed","fan","Reducing the fan speed as you requested.","I'll slow down the fan for you.","Sure, decreasing the fan speed."
"open","garage_door","Opening the garage door for you.","Sure, I'll open the garage door.","I'll go ahead and open the garage door."
"close","garage_door","Closing the garage door as requested.","I'll shut the garage door for you.","Sure, closing the garage door."
"stop","garage_door","Stopping the garage door now.","I'll stop the garage door for you.","Sure, I'll halt the garage door movement."
"toggle","garage_door","Toggling the garage door state for you.","I'll switch the garage door's state now.","Switching the garage door's state for you."
"open","blinds","Opening the blinds for you.","I'll go ahead and open the blinds.","Sure, opening the blinds now."
"close","blinds","Closing the blinds as you requested.","I'll close the blinds for you.","Sure, closing the blinds."
"stop","blinds","Stopping the blinds now.","I'll stop the blinds for you.","Sure, halting the blinds movement."
"toggle","blinds","Toggling the blinds state for you.","Switching the blinds' state now.","I'll toggle the blinds for you."
"turn_on","media_player","Turning on the media player for you.","I'll get the media player going.","Sure, activating the media player."
"turn_off","media_player","Turning off the media player as requested.","I'll switch off the media player.","Sure, deactivating the media player."
"toggle","media_player","Toggling the media player for you.","Switching the media player's state.","I'll toggle the media player."
"volume_up","media_player","Increasing the volume for you.","Sure, turning up the volume now.","I'll go ahead and raise the volume."
"volume_down","media_player","Reducing the volume as you requested.","I'll turn down the volume for you.","Sure, lowering the volume."
"volume_mute","media_player","Muting the volume for you.","I'll mute the media player now.","Sure, muting the volume."
"media_play_pause","media_player","Toggling play/pause on the media player.","Switching between play and pause.","I'll toggle between play and pause for you."
"media_play","media_player","Starting media playback.","I'll start playing the media for you.","Sure, beginning playback."
"media_pause","media_player","Pausing the media playback.","I'll pause the media for you.","Sure, pausing playback."
"media_stop","media_player","Stopping the media playback.","I'll stop the media for you.","Sure, halting playback."
"media_next_track","media_player","Skipping to the next track.","I'll go to the next track for you.","Sure, moving to the next track."
"media_previous_track","media_player","Going back to the previous track.","I'll return to the previous track for you.","Sure, reverting to the previous track."
"lock","lock","Locking the door for you.","I'll go ahead and lock the door.","Sure, securing the lock."
"unlock","lock","Unlocking the door as you requested.","I'll unlock the door for you.","Sure, unlocking the door."
