device_name,description
blinds.back_window,"Back Window Blinds"
blinds.basement,"Basement Blinds"
blinds.bathroom_1,First bathroom blinds
blinds.bathroom,"Bathroom Blinds"
blinds.craft_room,Craft room blinds
blinds.dining_room,"Dining Room Blinds"
blinds.front_window,"Front Window Blinds"
blinds.garage,"Garage Blinds"
blinds.guest_bathroom,Guest bathroom blinds
blinds.guest_room,"Guest Room Blinds"
blinds.hallway_1,First hallway blinds
blinds.hallway_2,Second hallway blinds
blinds.hallway,"Hallway Blinds"
blinds.ikea_smart,"Ikea Smart Blinds"
blinds.kids_room,Kids' room blinds
blinds.kitchen_window,Kitchen window blinds
blinds.kitchen,"Kitchen Blinds"
blinds.living_room_large,Main living room blinds
blinds.living_room,"Living Room Blinds"
blinds.master_bedroom,"Master Bedroom Blinds"
blinds.nursery,"Nursery Blinds"
blinds.office,"Office Blinds"
blinds.office_window,"Office Window Blinds"
blinds.patio,"Patio Blinds"
blinds.skylight,"Skylight Blinds"
blinds.skylight,Skylight blinds
blinds.somfy_kitchen,"Kitchen Blinds"
blinds.somfy_living,"Living Room Blinds"
blinds.sunroom,"Sunroom Blinds"
blinds.theater_room,Home theater blinds
fan.attic_1,"Attic Fans"
fan.attic_2,"Attic Fans"
fan.attic_3,"Attic Fans"
fan.attic_ventilation,Attic ventilation fan
fan.attic,"Attic Fan"
fan.back_porch,"Back Porch Fan"
fan.balcony,"Balcony Fan"
fan.basement,"Basement Fan"
fan.bathroom_down,Fan in downstairs bathroom
fan.bathroom,"Bathroom Fan"
fan.bedroom_master,"Master Bedroom Fan"
fan.bedroom_right,Right-side bedroom fan
fan.bedroom,"Bedroom Fan"
fan.ceiling_1,"Ceiling Fans"
fan.ceiling_2,"Ceiling Fans"
fan.dining_area,"Dining Area Fan"
fan.dining_room,"Dining Room Fan"
fan.dyson_pure,"Dyson Pure Fan"
fan.front_porch,"Front Porch Fan"
fan.garage_workshop,Garage workshop fan
fan.garage,"Garage Fan"
fan.guest_bedroom,Guest room fan
fan.guest_room,"Guest Room Fan"
fan.hallway,"Hallway fan"
