duration,name
00:30:00,Half an hour
01:00:00,One hour
00:15:00,Fifteen minutes
02:00:00,Two hours
00:05:00,Five minutes
00:45:00,Forty-five minutes
03:30:00,Three and a half hours
00:10:00,Ten minutes
01:30:00,One and a half hours
04:00:00,Four hours
00:20:00,Twenty minutes
05:00:00,Five hours
00:02:00,Two minutes
06:30:00,Six and a half hours
00:50:00,Fifty minutes
07:45:00,Seven hours and forty-five minutes
00:01:00,One minute
08:00:00,Eight hours
00:40:00,Forty minutes
09:15:00,Nine hours and fifteen minutes
00:00:30,Thirty seconds
00:00:45,Forty-five seconds
00:01:30,One minute and thirty seconds
00:02:30,Two minutes and thirty seconds
00:03:15,Three minutes and fifteen seconds
00:00:10,Ten seconds
00:00:20,Twenty seconds
00:04:00,Four minutes
00:05:30,Five minutes and thirty seconds
00:06:45,Six minutes and forty-five seconds
00:07:20,Seven minutes and twenty seconds
00:08:05,Eight minutes and five seconds
00:10:00,Ten minutes
00:12:30,Twelve minutes and thirty seconds
00:15:45,Fifteen minutes and forty-five seconds
00:20:00,Twenty minutes
00:25:00,Twenty-five minutes
00:30:30,Thirty minutes and thirty seconds
00:45:45,Forty-five minutes and forty-five seconds
00:50:50,Fifty minutes and fifty seconds
00:00:05,Five seconds
00:00:15,Fifteen seconds
00:00:25,Twenty-five seconds
00:00:35,Thirty-five seconds
00:00:40,Forty seconds
00:00:45,Forty-five seconds
00:00:50,Fifty seconds
00:00:55,Fifty-five seconds
00:00:08,Eight seconds
00:00:12,Twelve seconds
