real_service,hallucinated_service
turn_on,activate
turn_on,power_on
turn_on,enable
turn_off,deactivate
turn_off,power_off
turn_off,disable
toggle,flip
toggle,switch
toggle,alternate
set_temperature,adjust_temperature
set_temperature,program_temperature
set_temperature,configure_temperature
set_humidity,adjust_humidity
set_humidity,program_humidity
set_humidity,configure_humidity
set_fan_mode,adjust_fan_mode
set_fan_mode,program_fan_mode
set_fan_mode,configure_fan_mode
set_hvac_mode,adjust_hvac_mode
set_hvac_mode,program_hvac_mode
set_hvac_mode,configure_hvac_mode
set_preset_mode,adjust_preset_mode
set_preset_mode,program_preset_mode
set_preset_mode,configure_preset_mode
volume_up,increase_volume
volume_up,raise_volume
volume_up,amplify_volume
volume_down,decrease_volume
volume_down,lower_volume
volume_down,reduce_volume
volume_mute,mute_volume
volume_mute,silence_volume
volume_mute,quiet_volume
media_play_pause,toggle_play_pause
media_play_pause,switch_play_pause
media_play_pause,flip_play_pause
media_play,start_playback
media_play,initiate_play
media_play,begin_play
media_pause,pause_playback
media_pause,halt_play
media_pause,suspend_play
media_stop,stop_playback
media_stop,end_play
media_stop,terminate_play
media_next_track,next_song
media_next_track,skip_track
media_next_track,advance_track
media_previous_track,previous_song
media_previous_track,back_track
media_previous_track,rewind_track
increase_speed,accelerate
increase_speed,boost_speed
increase_speed,raise_speed
decrease_speed,decelerate
decrease_speed,reduce_speed
decrease_speed,lower_speed
decrease_speed,slow
open_cover,raise_cover
open_cover,lift_cover
open_cover,open
close_cover,lower_cover
close_cover,shut_cover
close_cover,close
stop_cover,halt_cover_movement
stop_cover,pause_cover
stop_cover,freeze_cover
stop_cover,stop
lock,secure
lock,fasten
lock,seal
lock,close
unlock,release
unlock,open_lock
unlock,unseal
unlock,open
start,initiate
start,begin
start,commence
pause,halt
pause,suspend
pause,interrupt
stop,end
stop,terminate
stop,conclude
return_to_base,go_home
return_to_base,retreat_to_home
return_to_base,navigate_home
