reason_type,service_name,device_name,friendly_name,desired_state,phrase,response
not_available,lock.lock,back_door,Back Door Lock,,"Lock the <device_name>.","I can't find a back door lock to control."
already_state,light.turn_on,hallway,Hallway Lights,on,"Turn on the <device_name>.","The hallway lights are already on."
already_state,switch.turn_off,garage,Garage Outlet,off,"Turn off the <device_name>.","The garage outlet is already off."
not_available,blinds.close_cover,sunroom,Sunroom Blinds,,Close the <device_name> blinds,"I’m sorry, but I can’t locate that device in your home."
not_available,light.turn_on,downstairs_livingroom_lifx,Downstairs Living Room Light,,turn on the <device_name> with color blue,"I’m sorry, I can’t locate that device in your home."
already_state,media_player.media_play_pause,sonos_beam,Sonos Compact Soundbar,playing,Pause <device_name>,"It's already playing, so there's nothing to change."
not_available,media_player.volume_up,playstation_5,Sony PS5,,Increase the volume of <device_name>,"I’m sorry, I can’t locate <device_name> in your home."
not_available,fan.turn_on,bathroom,Bathroom Fan,,Turn on the <device_name>.,"I’m sorry, I can’t locate that device in your home."
not_available,light.toggle,garden,Garden Light,,Toggle <device_name>,"Sorry, I can't locate that device in your home."
not_available,media_player.volume_up,roku_living,Roku Living Room,,Turn up the volume on <device_name>,"I’m sorry, I can’t find <device_name> in your home, so I can’t adjust its volume."
not_available,garage_door.open_cover,side_2,Side garage door,,Open the <device_name>.,"I’m sorry, but I can’t locate a <device_name> in your home to open."
already_state,light.turn_off,front_tv_room_ge,Front TV Room Light,off,Turn off the <device_name>,"The <device_name> is already off, so there's nothing to change."
not_available,garage_door.stop_cover,golf_cart,Golf Cart Garage,,Stop the <device_name>,"I’m sorry, I can’t find that device in your home."
not_available,lock.lock,playroom,Playroom Lock,,Lock the <device_name>,"I’m sorry, I can’t find that lock in your home."
not_available,fan.decrease_speed,kitchen_island,Cooling kitchen fan,,Decrease the speed of the <device_name>,"Sorry, I couldn't locate that fan in your home."
already_state,switch.turn_off,pantry_lights,Pantry Lights Switch,off,Turn off the <device_name>.,"Sorry, the <device_name> is already off, so there's nothing to change."
not_available,vacuum.stop,dining_area_bissel,Dining area dirt remover,,stop the <device_name>,"I’m sorry, I can’t locate that device in your home."
not_available,fan.turn_on,dyson_pure,Dyson Pure Fan,,Turn on the <device_name>.,"I’m sorry, I can’t locate a <device_name> in your home."
already_state,climate.turn_off,trane_comfortlink_ii,Trane ComfortLink II XL1050,off,Turn off the <device_name>,"Sorry, the <device_name> is already off, so there's nothing to change."
not_available,garage_door.open_cover,boat,Boat storage door,,Open the <device_name> cover,"I’m sorry, I can’t locate that device in your home."
already_state,light.turn_off,office_1,Office Light,off,Turn off the <device_name>,"The <device_name> is already off, so there's nothing to change."
already_state,lock.unlock,secure_storage,Secure storage lock,unlocked,Unlock the <device_name>,"Sorry, the <device_name> is already unlocked, so there's nothing to do."
not_available,fan.turn_on,office,Office Fan,,Turn on the <device_name>,"I’m sorry, I can’t locate a <device_name> in your home."
not_available,light.turn_on,patio,Patio Light,,turn on the <device_name>,"I’m sorry, but I can’t locate that device in your home."
not_available,switch.toggle,fountain_pump,Fountain Pump Switch,,Toggle the <device_name>,"I’m sorry, but I can’t locate that device in your home."
not_available,climate.set_temperature,ecobee_smart,Ecobee SmartThermostat,,Set the temperature of <device_name> to 25 degrees.,"I’m sorry, but I can’t locate that device in your home."
not_available,garage_door.open_cover,basement,Basement Garage Door,,Open the <device_name> cover,"I'm sorry, but I can't find that device in your home."
