service,response_starting,response_confirmed,persona,short
blinds.open_cover,Opening the blinds now.,The blinds are now open.,assistant,0
blinds.open_cover,I'll go ahead and open the blinds now.,The blinds are now open.,assistant,0
blinds.open_cover,"Sure, opening the blinds now.","Sure, the blinds are now open.",assistant,0
blinds.close_cover,Closing the blinds now.,The blinds are now closed.,assistant,0
blinds.close_cover,Closing the blinds now.,The blinds are now closed.,assistant,0
blinds.close_cover,"Sure, closing the blinds now.","Sure, the blinds are now closed.",assistant,0
blinds.stop_cover,Stopping the blinds now.,The blinds have been stopped.,assistant,0
blinds.stop_cover,Stopping the blinds now.,The blinds have been stopped.,assistant,0
blinds.stop_cover,"Sure, halting the blinds movement now.",The blinds movement has been halted.,assistant,0
blinds.toggle,Toggling the blinds now.,The blinds have been toggled.,assistant,0
blinds.toggle,Switching the blinds' state now.,The blinds' state has been switched.,assistant,0
blinds.toggle,Toggling the blinds now.,The blinds have been toggled.,assistant,0
blinds.open_cover,Lifting <device_name> blinds now,The <device_name> blinds have been lifted,assistant,0
blinds.open_cover,Opening <device_name> now.,The <device_name> is now open.,assistant,0
blinds.open_cover,Raising <device_name> now,The <device_name> is now raised,assistant,0
blinds.stop_cover,Freezing <device_name> position now.,The <device_name> position is now frozen.,assistant,0
blinds.stop_cover,Halting <device_name> now.,<device_name> has been halted.,assistant,0
blinds.stop_cover,Stopping <device_name> operation now.,<device_name> operation has been stopped.,assistant,0
blinds.open_cover,Raising <device_name> now.,The <device_name> is now raised.,assistant,0
blinds.close_cover,Closing <device_name> now.,The <device_name> is now closed.,assistant,0
blinds.close_cover,Lowering <device_name> now.,The <device_name> is now closed.,assistant,0
blinds.close_cover,Shutting <device_name> now.,<device_name> is now shut.,assistant,0
blinds.close_cover,Lowering <device_name> now.,<device_name> has been lowered.,assistant,0
blinds.toggle,Flipping <device_name> state now.,The <device_name> state has been flipped.,assistant,0
blinds.toggle,Switching <device_name> state now.,The <device_name> state has been switched.,assistant,0
blinds.toggle,Toggling <device_name> now,The <device_name> has been toggled,assistant,0
blinds.toggle,Toggling <device_name> now.,<device_name> has been toggled.,assistant,0
climate.set_humidity,Increasing humidity to <humidity> now.,Humidity increased to <humidity>.,assistant,0
climate.set_humidity,Setting humidity to <humidity> percent.,Humidity has been set to <humidity> percent.,assistant,0
climate.set_humidity,Adjusting humidity to <humidity>% now.,Humidity has been set to <humidity>%.,assistant,0
climate.set_fan_mode,Setting the fan to <fan_mode> speed now.,The fan is set to <fan_mode> speed.,assistant,0
climate.set_fan_mode,Putting the fan on <fan_mode> now.,The fan is now set to <fan_mode>.,assistant,0
climate.set_fan_mode,Changing the fan to <fan_mode> setting now.,Fan is now set to <fan_mode>.,assistant,0
climate.set_hvac_mode,Switching to <hvac_mode> mode now.,Switched to <hvac_mode> mode.,assistant,0
climate.set_hvac_mode,Setting the HVAC to <hvac_mode> now.,The HVAC is now set to <hvac_mode>.,assistant,0
climate.set_hvac_mode,Changing HVAC to <hvac_mode> mode now.,HVAC is now in <hvac_mode> mode.,assistant,0
climate.set_temperature,Setting temperature to <temp_f> degrees.,Temperature has been set to <temp_f> degrees.,assistant,0
climate.set_temperature,Changing temperature to <temp_c> Celsius now.,Temperature set to <temp_c> Celsius.,assistant,0
climate.set_temperature,Setting the room to <temp_f> degrees Fahrenheit.,The room is now set to <temp_f> degrees Fahrenheit.,assistant,0
climate.set_temperature,Adjusting temperature to <temp_f> degrees Fahrenheit now.,The temperature is now set to <temp_f> degrees Fahrenheit.,assistant,0
climate.set_temperature,Setting the room to <temp_c> degrees Celsius now.,The room is now set to <temp_c> degrees Celsius.,assistant,0
climate.set_temperature,"Making it warmer, setting temperature to <temp_f> degrees now.",Temperature has been set to <temp_f> degrees.,assistant,0
climate.set_temperature,Lowering the temperature to <temp_c> Celsius.,The temperature has been lowered to <temp_c> Celsius.,assistant,0
climate.set_temperature,Raising the temperature to <temp_f> degrees Fahrenheit now.,The temperature has been raised to <temp_f> degrees Fahrenheit.,assistant,0
fan.turn_on,Turning on the fan now.,The fan is now on.,assistant,0
fan.turn_on,Getting the fan going now.,The fan is now on.,assistant,0
fan.turn_on,"Sure, turning on the fan now.",The fan is now on.,assistant,0
fan.turn_off,Turning off the fan now.,The fan is now off.,assistant,0
fan.turn_off,Turning off the fan for you.,The fan is now off.,assistant,0
fan.turn_off,"Okay, turning off the fan now.","Okay, the fan is now off.",assistant,0
fan.toggle,Toggling the fan's state for you.,The fan's state has been toggled.,assistant,0
fan.toggle,Toggling the fan now.,The fan has been toggled.,assistant,0
fan.toggle,Switching the fan's state now.,The fan's state has been switched.,assistant,0
fan.increase_speed,Increasing the fan speed now.,The fan speed has been increased.,assistant,0
fan.increase_speed,"Sure, I'm speeding up the fan now.",The fan speed has been increased.,assistant,0
fan.increase_speed,Increasing the fan speed now.,The fan speed has been increased.,assistant,0
fan.decrease_speed,Reducing the fan speed now.,The fan speed has been reduced.,assistant,0
fan.decrease_speed,Slowing down the fan now.,The fan speed has been decreased.,assistant,0
fan.decrease_speed,"Sure, decreasing the fan speed now.",The fan speed has been decreased.,assistant,0
fan.toggle,Flipping <device_name> state now,The <device_name> state has been flipped,assistant,0
fan.toggle,Switching <device_name> state now.,The <device_name> state is now switched.,assistant,0
fan.toggle,Toggling <device_name> now.,<device_name> has been toggled.,assistant,0
fan.turn_on,Activating <device_name> now,<device_name> is now on,assistant,0
fan.turn_on,Starting <device_name> now.,The <device_name> is now on.,assistant,0
fan.turn_on,"Certainly, turning on <device_name> now.","Certainly, <device_name> is now on.",assistant,0
fan.turn_on,Turning on <device_name> now.,<device_name> is now on.,assistant,0
fan.turn_on,Starting <device_name> now.,<device_name> is now on.,assistant,0
fan.turn_off,Deactivating <device_name> now.,<device_name> has been deactivated.,assistant,0
fan.turn_off,Stopping <device_name> now,The <device_name> has been stopped,assistant,0
fan.turn_off,"Certainly, stopping <device_name> now.","Certainly, <device_name> has been stopped.",assistant,0
fan.turn_off,Turning off <device_name> now.,<device_name> is now off.,assistant,0
fan.decrease_speed,Reducing speed of <device_name> now.,Speed of <device_name> has been reduced.,assistant,0
fan.decrease_speed,Lowering speed of <device_name> now.,Speed of <device_name> has been lowered.,assistant,0
fan.decrease_speed,Slowing down <device_name> now.,<device_name> has been slowed down.,assistant,0
fan.increase_speed,Increasing speed of <device_name> now.,Speed of <device_name> increased.,assistant,0
fan.increase_speed,Ramping up <device_name> speed now.,<device_name> speed has been increased.,assistant,0
fan.increase_speed,Speeding up <device_name> now.,The <device_name> speed has been increased.,assistant,0
fan.increase_speed,Increasing speed of <device_name> now.,Speed of <device_name> increased.,assistant,0
fan.decrease_speed,Reducing speed of <device_name> now.,Speed of <device_name> has been reduced.,assistant,0
garage_door.open_cover,Opening the garage door now.,The garage door is now open.,assistant,0
garage_door.open_cover,"Sure, I'm opening the garage door now.","Sure, the garage door is now open.",assistant,0
garage_door.open_cover,Opening the garage door now.,The garage door is now open.,assistant,0
garage_door.close_cover,Closing the garage door now.,The garage door is now closed.,assistant,0
garage_door.close_cover,Shutting the garage door now.,The garage door is now shut.,assistant,0
garage_door.close_cover,"Sure, closing the garage door now.",The garage door is now closed.,assistant,0
garage_door.stop_cover,Stopping the garage door now.,The garage door has been stopped.,assistant,0
garage_door.stop_cover,Stopping the garage door now.,The garage door has been stopped.,assistant,0
garage_door.stop_cover,"Sure, I'm halting the garage door movement now.",The garage door movement has been halted.,assistant,0
garage_door.toggle,Toggling the garage door now.,The garage door state has been toggled.,assistant,0
garage_door.toggle,Switching the garage door's state now.,The garage door's state has been switched.,assistant,0
garage_door.toggle,Switching the garage door's state now.,The garage door's state has been switched.,assistant,0
garage_door.open_cover,Lifting <device_name> now,The <device_name> is now open,assistant,0
garage_door.open_cover,Opening <device_name> now.,<device_name> is now open.,assistant,0
garage_door.open_cover,Raising <device_name> now.,The <device_name> is now open.,assistant,0
garage_door.stop_cover,Freezing <device_name> position now.,The <device_name> position has been frozen.,assistant,0
garage_door.stop_cover,"Certainly, halting <device_name> now.",The <device_name> has been halted.,assistant,0
garage_door.stop_cover,Halting <device_name> operation now.,<device_name> operation has been halted.,assistant,0
garage_door.open_cover,Opening <device_name> now.,<device_name> is now open.,assistant,0
garage_door.stop_cover,Stopping <device_name> now.,The <device_name> has stopped.,assistant,0
garage_door.close_cover,Closing <device_name> now,The <device_name> is now closed.,assistant,0
garage_door.close_cover,Lowering <device_name> now.,<device_name> is now closed.,assistant,0
garage_door.close_cover,Shutting <device_name> now.,The <device_name> is now closed.,assistant,0
garage_door.close_cover,Closing <device_name> now.,The <device_name> is now closed.,assistant,0
garage_door.toggle,Flipping <device_name> state now.,The <device_name> state has been flipped.,assistant,0
garage_door.toggle,Switching <device_name> state now.,The <device_name> state has been switched as requested.,assistant,0
garage_door.toggle,Toggling <device_name> now.,The <device_name> has been toggled.,assistant,0
garage_door.toggle,Toggling <device_name> now.,The <device_name> has been toggled.,assistant,0
light.turn_on,Turning on the light now.,The light is now on.,assistant,0
light.turn_on,"Sure, turning on the light now.","Sure, the light is now on.",assistant,0
light.turn_on,Turning the light on now.,The light is now on.,assistant,0
light.turn_off,Turning off the light now.,The light is now off.,assistant,0
light.turn_off,Switching off the light now.,The light is now off.,assistant,0
light.turn_off,"Sure, turning off the light now.","Sure, the light is now off.",assistant,0
light.toggle,Toggling the light now.,The light has been toggled.,assistant,0
light.toggle,Switching the light's state now.,The light's state has been switched.,assistant,0
light.toggle,I'll toggle the light now.,The light has been toggled.,assistant,0
light.toggle,Flipping the <device_name> state now.,The <device_name> state has been flipped.,assistant,0
light.toggle,Switching <device_name> state now.,The <device_name> state has been switched.,assistant,0
light.toggle,Toggling <device_name> now,<device_name> has been toggled,assistant,0
light.toggle,Toggling <device_name> now.,Toggled <device_name>.,assistant,0
light.turn_on,Activating <device_name> now.,<device_name> is now on.,assistant,0
light.turn_on,"Certainly, turning on <device_name> now.","Certainly, <device_name> is now on.",assistant,0
light.turn_on,Switching on <device_name> now.,<device_name> is now on.,assistant,0
light.turn_on,Turning on <device_name> now.,The <device_name> is now on.,assistant,0
light.turn_on,Activating <device_name> now.,Activated <device_name>.,assistant,0
light.turn_on,Setting the brightness of <device_name> to <brightness>% now.,The brightness of <device_name> is now set to <brightness>%.,assistant,0
light.turn_on,Dimming <device_name> to <brightness>% brightness now.,<device_name> is now dimmed to <brightness>% brightness.,assistant,0
light.turn_on,Brightening <device_name> to <brightness>% now.,Brightened <device_name> to <brightness>%.,assistant,0
light.turn_on,Adjusting <device_name> brightness to <brightness> now.,Adjusted <device_name> brightness to <brightness>.,assistant,0
light.turn_on,Increasing <device_name>'s brightness to <brightness> now.,<device_name>'s brightness is now set to <brightness>.,assistant,0
light.turn_on,Lowering the brightness of <device_name> to <brightness> now.,The brightness of <device_name> has been lowered to <brightness>.,assistant,0
light.turn_on,Setting <device_name>'s brightness level to <brightness>% now.,<device_name>'s brightness level is now set to <brightness>%.,assistant,0
light.turn_on,Setting <device_name> to <brightness>% brightness now.,<device_name> is now set to <brightness>% brightness.,assistant,0
light.turn_on,Turning <device_name> <color> now.,The <device_name> is now <color>.,assistant,0
light.turn_on,Changing the color of <device_name> to <color> now.,The color of <device_name> has been set to <color>.,assistant,0
light.turn_on,Changing <device_name> to a <color> hue now.,Changed <device_name> to a <color> hue.,assistant,0
light.turn_on,Setting <device_name> to be <color> now.,<device_name> is now set to <color>.,assistant,0
light.turn_on,Making <device_name> shine in <color> now.,The <device_name> is now shining in <color>.,assistant,0
light.turn_on,Turning <device_name> to a <color> shade now.,The <device_name> is now set to a <color> shade.,assistant,0
light.turn_on,Setting <device_name> to a <color> now.,The <device_name> is now set to a <color>.,assistant,0
light.turn_on,Setting <device_name> to a <color> color now.,<device_name> is now set to a <color> color.,assistant,0
light.turn_on,Making <device_name> glow <color> now.,<device_name> is now glowing <color>.,assistant,0
light.turn_on,Turning <device_name> to <color> now.,The <device_name> is now set to <color>.,assistant,0
light.turn_on,Changing <device_name> to <color> now.,The <device_name> is now set to <color>.,assistant,0
light.turn_on,Adjusting <device_name> to <color> color now.,The <device_name> is now set to <color> color.,assistant,0
light.turn_on,Switching <device_name> color to <color> now.,The <device_name> color is now set to <color>.,assistant,0
light.turn_on,Setting <device_name> in <color> now.,The <device_name> is now set to <color>.,assistant,0
light.turn_on,Making <device_name> display a <color> light now.,The <device_name> is now displaying a <color> light.,assistant,0
light.turn_on,Setting <device_name> color to <color>.,The <device_name> color is now set to <color>.,assistant,0
light.turn_off,Deactivating <device_name> now.,The <device_name> has been deactivated.,assistant,0
light.turn_off,Switching off <device_name> now.,The <device_name> is now off.,assistant,0
light.turn_off,"Sure, turning off <device_name> now.","Sure, <device_name> is now off.",assistant,0
light.turn_off,Turning off <device_name> now.,<device_name> is now off.,assistant,0
light.turn_off,Deactivating <device_name> now.,The <device_name> has been deactivated.,assistant,0
lock.lock,Locking the door now.,The door is now locked.,assistant,0
lock.lock,Locking the door now.,The door is now locked.,assistant,0
lock.lock,"Sure, securing the lock now.",The lock is now secured.,assistant,0
lock.unlock,Unlocking the door now.,The door is now unlocked.,assistant,0
lock.unlock,Unlocking the door for you now.,The door is now unlocked.,assistant,0
lock.unlock,"Sure, unlocking the door now.","Sure, the door is now unlocked.",assistant,0
lock.lock,Engaging lock on <device_name> now.,Lock engaged on <device_name>.,assistant,0
lock.lock,Locking <device_name> now.,<device_name> is now locked.,assistant,0
lock.lock,Securing <device_name> now.,The <device_name> is now secured.,assistant,0
lock.lock,Locking <device_name> now.,The <device_name> is now locked.,assistant,0
lock.lock,Securing <device_name> now.,The <device_name> is now secured.,assistant,0
lock.unlock,Disengaging lock on <device_name> now.,Lock on <device_name> has been disengaged.,assistant,0
lock.unlock,Unlocking <device_name> now.,<device_name> is now unlocked.,assistant,0
lock.unlock,Unsecuring <device_name> now.,<device_name> is now unlocked.,assistant,0
lock.unlock,Unlocking <device_name> now.,The <device_name> is now unlocked.,assistant,0
media_player.turn_on,Turning on the media player now.,The media player is now on.,assistant,0
media_player.turn_on,Getting the media player going now.,The media player is now on.,assistant,0
media_player.turn_on,"Sure, turning on the media player now.",The media player is now on.,assistant,0
media_player.turn_off,Turning off the media player now.,The media player is now off.,assistant,0
media_player.turn_off,Switching off the media player now.,The media player is now off.,assistant,0
media_player.turn_off,"Sure, deactivating the media player now.",The media player has been deactivated.,assistant,0
media_player.toggle,Toggling the media player now.,The media player has been toggled.,assistant,0
media_player.toggle,Switching the media player's state now.,The media player's state has been switched.,assistant,0
media_player.toggle,I'll toggle the media player now.,The media player has been toggled.,assistant,0
media_player.volume_up,Increasing the volume now.,The volume has been increased.,assistant,0
media_player.volume_up,"Sure, turning up the volume now.",The volume is now turned up.,assistant,0
media_player.volume_up,Raising the volume now.,The volume has been raised.,assistant,0
media_player.volume_down,Reducing the volume now.,The volume has been reduced.,assistant,0
media_player.volume_down,Turning down the volume now.,The volume has been turned down.,assistant,0
media_player.volume_down,"Sure, lowering the volume now.",The volume has been lowered.,assistant,0
media_player.volume_mute,Muting the volume now.,The volume is now muted.,assistant,0
media_player.volume_mute,Muting the media player now.,The media player is now muted.,assistant,0
media_player.volume_mute,"Sure, muting the volume now.",The volume is now muted.,assistant,0
media_player.media_play_pause,Toggling play/pause on the media player now.,Play/pause has been toggled on the media player.,assistant,0
media_player.media_play_pause,Switching between play and pause now.,Play and pause have been switched.,assistant,0
media_player.media_play_pause,Toggling between play and pause now.,Play/pause toggled.,assistant,0
media_player.media_play,Starting media playback now.,Media playback is now active.,assistant,0
media_player.media_play,Starting media playback now.,The media is now playing.,assistant,0
media_player.media_play,"Sure, starting playback.","Sure, playback has started.",assistant,0
media_player.media_pause,Pausing the media playback now.,The media playback has been paused.,assistant,0
media_player.media_pause,Pausing the media now.,The media is now paused.,assistant,0
media_player.media_pause,"Sure, pausing playback now.",Playback paused.,assistant,0
media_player.media_stop,Stopping the media playback now.,Media playback has been stopped.,assistant,0
media_player.media_stop,Stopping the media for you now.,The media has been stopped.,assistant,0
media_player.media_stop,"Sure, stopping playback now.",Playback has been stopped.,assistant,0
media_player.media_next_track,Skipping to the next track now.,Skipped to the next track.,assistant,0
media_player.media_next_track,I'll skip to the next track now.,I've moved to the next track.,assistant,0
media_player.media_next_track,"Sure, moving to the next track now.","Sure, the next track is now playing.",assistant,0
media_player.media_previous_track,Going back to the previous track now.,Went back to the previous track.,assistant,0
media_player.media_previous_track,Returning to the previous track now.,I've returned to the previous track.,assistant,0
media_player.media_previous_track,"Sure, reverting to the previous track now.",The previous track is now playing.,assistant,0
media_player.volume_up,Increasing <device_name>'s volume now.,The volume of <device_name> has been increased.,assistant,0
media_player.volume_up,Turning up <device_name> a bit now.,<device_name> is now turned up a bit.,assistant,0
media_player.volume_up,Making <device_name> louder now.,The volume on <device_name> has been increased.,assistant,0
media_player.media_play,Starting playback on <device_name> now.,Playback has started on <device_name>.,assistant,0
media_player.media_play,Playing <device_name> now.,The <device_name> is now playing.,assistant,0
media_player.media_play,Playing media on <device_name> now.,Media is now playing on <device_name>.,assistant,0
media_player.media_stop,Stopping <device_name> now.,The <device_name> has been stopped completely.,assistant,0
media_player.media_stop,Stopping playback on <device_name> now.,Playback stopped on <device_name>.,assistant,0
media_player.media_stop,Ending session on <device_name> now.,Session ended on <device_name>.,assistant,0
media_player.volume_down,Lowering <device_name>'s volume now.,The volume of <device_name> has been lowered.,assistant,0
media_player.volume_down,Decreasing <device_name>'s volume now.,Decreased <device_name>'s volume.,assistant,0
media_player.volume_down,Turning down <device_name> now.,<device_name> is now turned down.,assistant,0
