device_type,service,phrase,multiplier
blinds,close_cover,Close the <device_name>,1
blinds,close_cover,Lower the <device_name>,1
blinds,close_cover,Shut the <device_name>,1
blinds,open_cover,Lift the <device_name> blinds,1
blinds,open_cover,Open the <device_name>,1
blinds,open_cover,Raise the <device_name>,1
blinds,stop_cover,Freeze the <device_name>,1
blinds,stop_cover,Halt the <device_name>,1
blinds,stop_cover,Stop the <device_name>,1
blinds,toggle,Flip the <device_name> state,1
blinds,toggle,Switch the <device_name> state,1
blinds,toggle,Toggle the <device_name>,1
blinds|fan,close_cover|turn_off,Close <device_name1> and deactivate <device_name2>,1
blinds|fan,open_cover|increase_speed,Raise the <device_name1> and speed up the <device_name2>,1
blinds|light,open_cover|turn_on,Raise <device_name1> and activate <device_name2>,1
fan,decrease_speed,Decrease the <device_name> speed,1
fan,decrease_speed,Lower the <device_name> speed,1
fan,decrease_speed,Slow down the <device_name>,1
fan,increase_speed,Increase the <device_name> speed,1
fan,increase_speed,Ramp up the <device_name> speed,1
fan,increase_speed,Speed up the <device_name>,1
fan,toggle,Flip the <device_name> on or off,1
fan,toggle,Switch the <device_name> state,1
fan,toggle,Toggle the <device_name>,1
fan,turn_off,Deactivate the <device_name>,1
fan,turn_off,Stop the <device_name> please,1
fan,turn_off,Turn off the <device_name>,1
fan,turn_on,Activate the <device_name>,1
fan,turn_on,Please start the <device_name>,1
fan,turn_on,Turn on the <device_name>,1
fan|blinds,turn_off|open_cover,Turn off <device_name1> and open <device_name2>,1
fan|blinds|garage_door,increase_speed|open_cover|open_cover,Speed up <device_name1> open <device_name2> and <device_name3>,1
fan|blinds|light,decrease_speed|open_cover|turn_off,Slow down <device_name1> open <device_name2> and turn off <device_name3>,1
fan|blinds|light,turn_off|close_cover|turn_on,Turn off <device_name1> close <device_name2> and turn on <device_name3>,1
fan|fan,increase_speed|decrease_speed,Speed up <device_name1> and slow down <device_name2>,1
fan|fan,turn_on|turn_off,Turn on <device_name1> and turn off <device_name2>,1
fan|garage_door,increase_speed|close_cover,Increase speed of <device_name1> and close <device_name2>,1
fan|garage_door|blinds,increase_speed|close_cover|open_cover,Speed up <device_name1> close <device_name2> and open <device_name3>,1
fan|garage_door|blinds,turn_on|close_cover|close_cover,Turn on <device_name1> close <device_name2> and <device_name3>,1
