device_name,description
blinds.fenêtre_arrière,Stores de fenêtre arrière
blinds.sous_sol,Stores de sous-sol
blinds.salle_de_bain_1,Premiers stores de salle de bain
blinds.salle_de_bain,Stores de salle de bain
blinds.salle_d'artisanat,Stores pour salle d'artisanat
blinds.salle_à_manger,Stores de salle à manger
blinds.fenêtre_avant,Stores de fenêtre avant
blinds.garage,Stores de garage
blinds.salle_de_bains_invité,Stores de salle de bains pour invités
blinds.chambre_d'amis,Stores de chambre d'amis
blinds.couloir_1,Premiers stores de couloir
blinds.couloir_2,Stores du deuxième couloir
blinds.couloir,Stores de couloir
blinds.ikea_smart,Stores intelligents Ikea
blinds.chambre_des_enfants,Stores pour chambres d'enfants
blinds.cuisine_fenêtre,Stores de fenêtre de cuisine
blinds.cuisine,Stores de cuisine
blinds.salon_room_large,Stores du salon principal
blinds.salon,Stores de salon
blinds.chambre_maître,Stores de la chambre principale
blinds.garderie,Stores de chambre d'enfant
blinds.bureau,Stores de bureau
blinds.bureau_fenêtre,Stores de fenêtre de bureau
blinds.patio,Stores de terrasse
blinds.lucarne,Stores pour puits de lumière
blinds.lucarne,Stores pour lucarnes
blinds.somfy_cuisine,Stores de cuisine
blinds.somfy_living,Stores de salon
blinds.véranda,Stores pour véranda
blinds.salle_théâtre,Stores de cinéma maison
fan.grenier_1,Ventilateurs de grenier
fan.grenier_2,Ventilateurs de grenier
fan.grenier_3,Ventilateurs de grenier
fan.grenier_ventilation,Ventilateur de grenier
fan.grenier,Ventilateur de grenier
fan.porche_arrière,Ventilateur de porche arrière
fan.balcon,Ventilateur de balcon
fan.sous_sol,Ventilateur de sous-sol
fan.salle_de_bain_bas,Ventilateur dans la salle de bain du rez-de-chaussée
fan.salle_de_bain,Ventilateur de salle de bain
fan.chambre_maître,Ventilateur de la chambre principale
fan.chambre_droite,Ventilateur de chambre côté droit
fan.chambre_à_coucher,Ventilateur de chambre
fan.plafond_1,Ventilateurs de plafond
fan.plafond_2,Ventilateurs de plafond
fan.salle_à_manger,Ventilateur de salle à manger
fan.salle_à_manger,Ventilateur de salle à manger
fan.dyson_pure,Ventilateur pur Dyson
fan.le_porche,Ventilateur de porche
fan.garage_atelier,Ventilateur d'atelier de garage
