duration,name
00:30:00,Une demi-heure
01:00:00,Une heure
00:15:00,Quinze minutes
02:00:00,Deux heures
00:05:00,Cinq minutes
00:45:00,Quarante cinq minutes
03:30:00,Trois heures et demie
00:10:00,Dix minutes
01:30:00,Une heure et demi
04:00:00,Quatre heures
00:20:00,Vingt minutes
05:00:00,Cinq heures
00:02:00,Deux minutes
06:30:00,Six heures et demie
00:50:00,Cinquante minutes
07:45:00,Sept heures et quarante-cinq minutes
00:01:00,Une minute
08:00:00,Huit heures
00:40:00,Quarante minutes
09:15:00,Neuf heures et quinze minutes
00:00:30,Trente secondes
00:00:45,Quarante-cinq secondes
00:01:30,Une minute et trente secondes
00:02:30,Deux minutes et trente secondes
00:03:15,Trois minutes et quinze secondes
00:00:10,Dix secondes
00:00:20,Vingt secondes
00:04:00,Quatre minutes
00:05:30,Cinq minutes et trente secondes
00:06:45,Six minutes et quarante-cinq secondes
00:07:20,Sept minutes et vingt secondes
00:08:05,Huit minutes et cinq secondes
00:10:00,Dix minutes
00:12:30,Douze minutes et trente secondes
00:15:45,Quinze minutes et quarante-cinq secondes
00:20:00,Vingt minutes
00:25:00,Vingt-cinq minutes
00:30:30,Trente minutes et trente secondes
00:45:45,Quarante-cinq minutes et quarante-cinq secondes
00:50:50,Cinquante minutes et cinquante secondes
00:00:05,Cinq secondes
00:00:15,Quinze secondes
00:00:25,Vingt-cinq secondes
00:00:35,Trente-cinq secondes
00:00:40,Quarante secondes
00:00:45,Quarante-cinq secondes
00:00:50,Cinquante secondes
00:00:55,Cinquante-cinq secondes
00:00:08,Huit secondes
00:00:12,Douze secondes
