service,response_starting,response_confirmed,persona,short
blinds.open_cover,J'ouvre les stores.,Les stores sont ouverts.,assistant,0
blinds.open_cover,"Bien sûr, j'ouvre les stores maintenant.",Les stores sont maintenant ouverts.,assistant,0
blinds.open_cover,Ouverture des stores en cours.,Les stores sont maintenant ouverts.,assistant,0
blinds.close_cover,"Fermeture des stores en cours, comme vous l'avez demandé.","Les stores sont fermés, comme vous l'avez demandé.",assistant,0
blinds.close_cover,Je ferme les stores pour toi.,Les stores sont fermés.,assistant,0
blinds.close_cover,"Bien sûr, je ferme les stores maintenant.",Les stores sont maintenant fermés.,assistant,0
blinds.stop_cover,Arrêtons les stores maintenant.,Les stores sont arrêtés.,assistant,0
blinds.stop_cover,J'arrête les stores pour toi.,Les stores sont arrêtés.,assistant,0
blinds.stop_cover,"Bien sûr, j'arrête le mouvement des stores.",Le mouvement des stores a été arrêté.,assistant,0
blinds.toggle,Je bascule l'état des stores maintenant.,Les stores sont maintenant basculés.,assistant,0
blinds.toggle,Je baisse les stores pour toi.,Les stores sont baissés.,assistant,0
blinds.toggle,Je change l'état des stores maintenant.,L'état des stores a été changé.,assistant,0
blinds.open_cover,Levage des stores <device_name> en cours.,Les stores <device_name> sont maintenant levés.,assistant,0
blinds.open_cover,Ouverture de <device_name> maintenant,Le <device_name> est ouvert,assistant,0
blinds.open_cover,J'augmente <device_name> pour vous.,Le <device_name> est maintenant ouvert.,assistant,0
blinds.stop_cover,Gel de la position de <device_name> en cours.,La position de <device_name> est gelée.,assistant,0
blinds.stop_cover,Arrêt de l'opération <device_name> en cours.,L'opération <device_name> a été arrêtée.,assistant,0
blinds.close_cover,Fermeture de <device_name> en cours.,Fermeture de <device_name> terminée.,assistant,0
blinds.stop_cover,Arrêt de <device_name> en cours.,<device_name> est maintenant arrêté.,assistant,0
blinds.open_cover,J'augmente <device_name> maintenant.,Le <device_name> est maintenant ouvert.,assistant,0
blinds.close_cover,Je baisse <device_name> maintenant.,<device_name> est maintenant baissé.,assistant,0
blinds.close_cover,J'abaisse <device_name>.,Le <device_name> est abaissé.,assistant,0
blinds.toggle,Je change l'état de <device_name> maintenant,L'état de <device_name> a été changé,assistant,0
blinds.close_cover,Arrêt de <device_name> en cours…,Arrêt de <device_name> effectué.,assistant,0
blinds.toggle,Inversion de l'état <device_name> maintenant,L'état de <device_name> a été inversé.,assistant,0
blinds.toggle,Je bascule <device_name> pour vous.,J'ai basculé <device_name> pour vous.,assistant,0
blinds.toggle,Je bascule <device_name>.,<device_name> est maintenant basculé.,assistant,0
climate.set_humidity,J'augmente l'humidité jusqu'à <humidity>.,L'humidité a été augmentée à <humidity>.,assistant,0
climate.set_humidity,Je règle l'humidité sur <humidity> pour cent.,L'humidité a été réglée sur <humidity> pour cent.,assistant,0
climate.set_humidity,Ajustement de l'humidité à <humidity>% en cours.,L'humidité a été réglée à <humidity>%.,assistant,0
climate.set_fan_mode,Je règle le ventilateur sur la vitesse <fan_mode>.,Le ventilateur est réglé sur la vitesse <fan_mode>.,assistant,0
climate.set_fan_mode,Modification du ventilateur sur le paramètre <fan_mode> en cours.,Le ventilateur est maintenant réglé sur le paramètre <fan_mode>.,assistant,0
climate.set_fan_mode,Mise en route du ventilateur sur <fan_mode>.,Le ventilateur est maintenant sur <fan_mode>.,assistant,0
climate.set_hvac_mode,Passage en mode <hvac_mode> en cours.,Mode <hvac_mode> activé.,assistant,0
climate.set_hvac_mode,Je règle le CVC sur <hvac_mode>.,Le CVC est réglé sur <hvac_mode>.,assistant,0
climate.set_temperature,Changement de température à <temp_c> Celsius en cours.,La température a été changée à <temp_c> Celsius.,assistant,0
climate.set_temperature,Réglage de la température à <temp_f> degrés.,La température a été réglée à <temp_f> degrés.,assistant,0
climate.set_temperature,Je règle la pièce à <temp_f> degrés Fahrenheit.,La pièce est maintenant réglée à <temp_f> degrés Fahrenheit.,assistant,0
climate.set_temperature,Ajustement de la température à <temp_f> degrés Fahrenheit en cours.,Température réglée à <temp_f> degrés Fahrenheit.,assistant,0
climate.set_hvac_mode,Passage du mode CVC en mode <hvac_mode>.,Le mode CVC est maintenant en mode <hvac_mode>.,assistant,0
climate.set_temperature,Je règle la pièce à <temp_c> degrés Celsius pour une température plus fraîche.,"La pièce est maintenant réglée à <temp_c> degrés Celsius, plus fraîche.",assistant,0
climate.set_temperature,Abaissement de la température à <temp_c> Celsius.,La température a été abaissée à <temp_c> Celsius.,assistant,0
climate.set_temperature,"Je le rends plus chaud, en réglant la température à <temp_f> degrés.","C'est plus chaud, la température est réglée à <temp_f> degrés.",assistant,0
climate.set_temperature,J'augmente la température à <temp_f> degrés Fahrenheit.,La température a été augmentée à <temp_f> degrés Fahrenheit.,assistant,0
fan.turn_on,J'allume le ventilateur pour vous.,Le ventilateur est maintenant allumé.,assistant,0
fan.turn_on,Je mets le ventilateur en marche pour toi.,Le ventilateur est maintenant en marche.,assistant,0
fan.turn_on,"Bien sûr, j'allume le ventilateur maintenant.",Le ventilateur est maintenant allumé.,assistant,0
fan.turn_off,J'éteins le ventilateur maintenant.,Le ventilateur est éteint.,assistant,0
fan.turn_off,J'éteins le ventilateur pour toi.,Le ventilateur est maintenant éteint.,assistant,0
fan.toggle,Je bascule le ventilateur pour vous.,Le ventilateur a été basculé.,assistant,0
fan.turn_off,"D'accord, j'éteins le ventilateur.",Le ventilateur est maintenant éteint.,assistant,0
fan.toggle,Je bascule le ventilateur maintenant.,Le ventilateur est maintenant basculé.,assistant,0
fan.toggle,Je change l'état du ventilateur pour vous.,L'état du ventilateur a été changé.,assistant,0
fan.increase_speed,J'augmente la vitesse du ventilateur pour vous.,La vitesse du ventilateur a été augmentée.,assistant,0
fan.increase_speed,J'accélère le ventilateur maintenant.,Le ventilateur a été accéléré.,assistant,0
fan.increase_speed,Je mets le ventilateur à vitesse supérieure.,Le ventilateur est maintenant plus rapide.,assistant,0
fan.decrease_speed,Je réduis la vitesse du ventilateur maintenant.,La vitesse du ventilateur a été réduite comme vous l'avez demandé.,assistant,0
fan.decrease_speed,Je ralentis le ventilateur pour toi.,Le ventilateur a été ralenti.,assistant,0
fan.decrease_speed,"Bien sûr, je diminue la vitesse du ventilateur.",La vitesse du ventilateur a été diminuée.,assistant,0
fan.toggle,Je change l'état de <device_name> comme demandé.,L'état de <device_name> a été changé comme demandé.,assistant,0
fan.toggle,Inversion de l'état <device_name> en cours pour vous.,L'état de <device_name> a bien été inversé.,assistant,0
fan.toggle,Activation de <device_name> en cours,<device_name> est maintenant activé,assistant,0
