service_name,device_name,phrase
blinds.close_cover,cuisine,Baisser les stores de la cuisine
blinds.close_cover,salon,Fermez les stores du salon
blinds.close_cover,chambre_maître,Fermez les stores de la chambre principale
blinds.open_cover,cuisine,Pourriez-vous relever les stores de la cuisine
blinds.open_cover,salon,Ouvrez les stores du salon
blinds.open_cover,chambre_maître,Soulever les stores de la chambre principale
blinds.stop_cover,cuisine,Arrêtez les stores de la cuisine là où ils se trouvent
blinds.stop_cover,salon,Arrêtez de régler les stores du salon
blinds.stop_cover,chambre_maître,Veuillez arrêter les stores de la chambre principale
blinds.toggle,cuisine,Changer l'état des stores de la cuisine
blinds.toggle,salon,Basculer les stores du salon
blinds.toggle,chambre_maître,Inverser les stores de la chambre principale
fan.decrease_speed,grenier_1,Ralentissez le ventilateur du grenier
fan.decrease_speed,grenier_1,Baissez le ventilateur du grenier
fan.decrease_speed,grenier,Ralentissez le ventilateur du grenier
fan.decrease_speed,chambre_maître,Ralentissez le ventilateur de la chambre principale
fan.decrease_speed,garage,Baissez le ventilateur du garage
fan.decrease_speed,chambre_d'amis,Diminuer la vitesse du ventilateur dans la chambre
fan.decrease_speed,couloir,Réduisez la vitesse du ventilateur dans le couloir
fan.decrease_speed,cuisine,Ralentissez le ventilateur de la cuisine
fan.decrease_speed,cuisine,Baissez le ventilateur de la cuisine
fan.decrease_speed,salon,Diminuer la vitesse du ventilateur du salon
fan.decrease_speed,salon,Baissez le ventilateur du salon
fan.decrease_speed,étude,Réduire la vitesse du ventilateur dans l'étude
fan.increase_speed,grenier_1,Augmenter la vitesse du ventilateur du grenier
fan.increase_speed,grenier,Accélérer le ventilateur dans le grenier
fan.increase_speed,chambre_maître,Augmentez la vitesse du ventilateur de la chambre principale
fan.increase_speed,garage,Montez le ventilateur dans le garage
fan.increase_speed,chambre_d'amis,Augmenter la vitesse du ventilateur dans la chambre
fan.increase_speed,couloir,Augmentez la vitesse du ventilateur dans le couloir
fan.increase_speed,salon,Augmenter la vitesse du ventilateur du salon
fan.increase_speed,étude,Augmentez la vitesse du ventilateur dans l'étude
fan.toggle,grenier_2,Activer le ventilateur du grenier
fan.toggle,grenier,Changer l'état du ventilateur dans le grenier
fan.toggle,sous_sol,Activer le ventilateur du sous-sol
fan.toggle,chambre_maître,Changer l'état du ventilateur de la chambre principale
fan.toggle,chambre_à_coucher,Activer le ventilateur de la chambre
fan.toggle,table_à_manger_above,Veuillez allumer le ventilateur au-dessus de la table à manger
fan.toggle,allée,Retournez le ventilateur de l'allée
fan.toggle,garage,Retournez le ventilateur dans le garage
fan.toggle,chambre_d'amis,Pouvez-vous activer le ventilateur dans la chambre ?
fan.toggle,couloir,Changer l'état du ventilateur dans le couloir
fan.toggle,cuisine,Activer le ventilateur de la cuisine
fan.toggle,salon,Activer le ventilateur dans le salon
fan.toggle,bureau,Activer le ventilateur du bureau
fan.toggle,extérieur,Activer le ventilateur extérieur
fan.toggle,piscine,Changer l'état du ventilateur de la piscine
fan.toggle,hangar,Allumer ou éteindre le ventilateur du cabanon
fan.toggle,étude,Modifier l'état du ventilateur dans l'étude
fan.turn_off,grenier_1,Désactivez le ventilateur du grenier
fan.turn_off,chambre_maître,Désactiver le ventilateur de la chambre principale
fan.turn_off,salle_à_manger,Veuillez éteindre le ventilateur de la salle à manger
fan.turn_off,salle_à_manger,Éteignez le ventilateur de la salle à manger
fan.turn_off,garage,Arrêtez le ventilateur du garage
fan.turn_off,garage,Éteignez le ventilateur du garage
fan.turn_off,chambre_d'amis,Éteignez le ventilateur de la chambre d'amis
fan.turn_off,cuisine,Éteignez le ventilateur de la cuisine
fan.turn_off,salon,Éteignez le ventilateur du salon
fan.turn_off,bureau,Pourriez-vous désactiver le ventilateur du bureau
fan.turn_off,bureau,Éteignez le ventilateur du bureau
fan.turn_off,patio,Éteignez le ventilateur de la terrasse
fan.turn_off,étude,Éteignez le ventilateur de l'étude
fan.turn_off,étude,Éteignez le ventilateur de l'étude
fan.turn_on,salle_de_bain,Activer le ventilateur de la salle de bain
fan.turn_on,salle_de_bain,Allumez le ventilateur de la salle de bain
fan.turn_on,chambre_maître,Activer le ventilateur de la chambre principale
fan.turn_on,salle_à_manger,Veuillez allumer le ventilateur de la salle à manger.
fan.turn_on,garage,Allumez le ventilateur du garage
fan.turn_on,couloir,Activer le ventilateur du couloir
fan.turn_on,cuisine,Activer le ventilateur de la cuisine
fan.turn_on,salon,Démarrer le ventilateur du salon
fan.turn_on,salon,Allumez le ventilateur du salon
fan.turn_on,bureau,Pourriez-vous activer le ventilateur du bureau
fan.turn_on,étude,Activer le ventilateur d'étude
fan.turn_on,étude,Allumez le ventilateur de l'étude
garage_door.close_cover,stockage_de_vélos,Désactiver le garage à vélos
garage_door.close_cover,principal,Fermez la porte du garage principal
garage_door.close_cover,une_voiture,Assurez-vous que le garage pour une voiture est fermé
garage_door.close_cover,côté,Abaissez la porte de garage latérale
garage_door.open_cover,sous_sol,Veuillez relever la porte du garage du sous-sol
garage_door.open_cover,stockage_de_vélos,Activer le garage à vélos
garage_door.open_cover,principal,Ouvrez la porte du garage principal
garage_door.open_cover,côté,Pourriez-vous soulever la porte latérale du garage
garage_door.open_cover,deux_voitures,Ouvrir le garage pour deux voitures
garage_door.stop_cover,principal,Arrêtez la porte du garage principal
garage_door.stop_cover,côté,Arrêtez la porte de garage latérale
garage_door.toggle,principal,Basculer la porte du garage principal
garage_door.toggle,côté,Changer l'état de la porte de garage latérale
light.toggle,grenier,Changer l'état de la lumière dans les combles
light.toggle,chambre_1,Allumer la lumière de la chambre
light.toggle,table_à_manger_above,Veuillez allumer la lumière au-dessus de la table à manger
light.toggle,allée,Inversez la lumière de l'allée
light.toggle,garage,Éteignez la lumière dans le garage
light.toggle,chambre_d'amis,Pourriez-vous allumer la lumière dans la chambre d'amis ?
light.toggle,chambre_d'amis,Allumer la lumière de la chambre d'amis
light.toggle,couloir,Changer l'état de la lumière dans le couloir
light.toggle,couloir,Allumer la lumière du couloir
light.toggle,cuisine_1,Allumer la lumière de la cuisine
light.toggle,cuisine_2,Allumer la lumière de la cuisine
light.toggle,bureau,Allumer la lumière du bureau
light.toggle,extérieur,Allumer la lumière extérieure
light.toggle,patio,Allumer la lumière du patio
light.toggle,piscine,Changer l'état de la lumière de la piscine
light.toggle,hangar,Allumer ou éteindre la lumière du hangar
light.toggle,étude,Modifier l'état de la lumière dans l'étude
light.toggle,étude,Activer la lumière du bureau
light.turn_off,salle_de_bain_1,Veuillez éteindre la lumière de la salle de bain
light.turn_off,salle_de_bain,Éteignez la lumière de la salle de bain
light.turn_off,salle_de_bain,Éteignez la lumière de la salle de bain
light.turn_off,chambre_1,Désactiver la lumière de la chambre
light.turn_off,chambre_2,Éteignez la lumière de la chambre
light.turn_off,salle_à_manger,Éteignez la lumière de la salle à manger
light.turn_off,salle_à_manger,Éteignez la lumière de la salle à manger
light.turn_off,jardin_1,Désactiver la lumière du jardin
light.turn_off,chambre_d'amis,Désactiver la lumière de la chambre d'amis
light.turn_off,chambre_d'amis,Éteignez la lumière de la chambre d'amis
light.turn_off,couloir,Éteignez la lumière du couloir
light.turn_off,couloir,Éteignez la lumière du couloir
light.turn_off,cuisine_2,Éteignez la lumière de la cuisine
light.turn_off,comptoir_de_cuisine,Éteignez la lumière du comptoir de la cuisine
light.turn_off,salon_chambre_1,Éteignez la lumière du salon
light.turn_off,salon,Éteignez la lumière du salon
light.turn_off,chambre_maître_1,Désactiver la lumière de la chambre principale
light.turn_off,lampe_chambre_maître,Éteignez la lumière dans la chambre
light.turn_off,bureau,Désactiver la lumière du bureau
light.turn_off,patio,Désactiver la lumière de la terrasse
light.turn_off,patio,Désactivez l'éclairage de la terrasse
light.turn_off,piscine,Éteignez la lumière de la piscine
light.turn_off,étude,Éteignez la lumière du bureau
light.turn_on,salle_de_bain_1,Pourriez-vous éclairer la salle de bains
light.turn_on,salle_de_bain,Activer la lumière de la salle de bain
light.turn_on,chambre_1,Activer la lumière de la chambre
light.turn_on,salle_à_manger_1,Activer les lumières dans la salle à manger
light.turn_on,salle_à_manger,Activer la lumière de la salle à manger
light.turn_on,allée,Allumez la lumière de l'allée
light.turn_on,garage,Activer la lumière du garage
light.turn_on,garage,Allumer la lumière du garage
light.turn_on,jardin_1,Allumez la lumière du jardin
light.turn_on,jardin_1,Allumez la lumière du jardin
light.turn_on,jardin_2,Activer la lumière du jardin
light.turn_on,jardin,Allumez la lumière du jardin
light.turn_on,chambre_d'amis,Allumer la lumière de la chambre d'amis
light.turn_on,couloir,Allumez la lumière du couloir
light.turn_on,cuisine_1,Allumez les lumières de la cuisine
light.turn_on,cuisine_1,Allumez la lumière de la cuisine
light.turn_on,comptoir_de_cuisine,Allumer la lumière du comptoir de la cuisine
light.turn_on,salon,Allumez la lumière du salon
light.turn_on,chambre_maître_1,Veuillez activer la lumière de la chambre principale
light.turn_on,bureau_1,Activer la lumière du bureau
light.turn_on,patio,Activer l'éclairage du patio
light.turn_on,patio,Allumez la lumière de la terrasse
light.turn_on,patio,Allumez la lumière de la terrasse
light.turn_on,piscine,Activer la lumière de la piscine
light.turn_on,piscine,Allumez la lumière de la piscine
light.turn_on,hangar,Activer la lumière du hangar
light.turn_on,hangar,Allumez la lumière du hangar
light.turn_on,étude,Activer la lumière du bureau
light.turn_on,lustre_salle_à_manger,Allumez la lumière de la salle à manger
