device_type,service,phrase,multiplier
blinds,close_cover,Fermez le <device_name>,1
blinds,close_cover,Abaissez le <device_name>,1
blinds,close_cover,Fermez le <device_name>,1
blinds,open_cover,Soulevez les stores <device_name>,1
blinds,open_cover,Ouvrez le <device_name>,1
blinds,open_cover,Augmentez le <device_name>,1
blinds,stop_cover,Geler le <device_name>,1
blinds,stop_cover,Arrêtez le <device_name>,1
blinds,stop_cover,Arrêtez le <device_name>,1
blinds,toggle,Inverser l'état <device_name>,1
blinds,toggle,Changer l'état <device_name>,1
blinds,toggle,Basculez le <device_name>,1
blinds|fan,close_cover|turn_off,Fermez <device_name1> et désactivez <device_name2>,1
blinds|fan,open_cover|increase_speed,Augmentez le <device_name1> et accélérez le <device_name2>,1
blinds|light,open_cover|turn_on,Augmentez <device_name1> et activez <device_name2>,1
fan,decrease_speed,Diminuez la vitesse de <device_name>,1
fan,decrease_speed,Réduisez la vitesse de <device_name>,1
fan,decrease_speed,Ralentissez le <device_name>,1
fan,increase_speed,Augmentez la vitesse de <device_name>,1
fan,increase_speed,Augmentez la vitesse de <device_name>,1
fan,increase_speed,Accélérez le <device_name>,1
fan,toggle,Activer ou désactiver le <device_name>,1
fan,toggle,Changer l'état <device_name>,1
fan,toggle,Basculez le <device_name>,1
fan,turn_off,Désactivez le <device_name>,1
fan,turn_off,Arrêtez le <device_name> s'il vous plaît,1
fan,turn_off,Éteignez le <device_name>,1
fan,turn_on,Activez le <device_name>,1
fan,turn_on,Veuillez démarrer le <device_name>,1
fan,turn_on,Allumez le <device_name>,1
fan|blinds,turn_off|open_cover,Éteignez <device_name1> et ouvrez <device_name2>,1
fan|blinds|garage_door,increase_speed|open_cover|open_cover,Accélérez <device_name1> ouvrez <device_name2> et <device_name3>,1
fan|blinds|light,decrease_speed|open_cover|turn_off,Ralentissez <device_name1> ouvrez <device_name2> et éteignez <device_name3>,1
fan|blinds|light,turn_off|close_cover|turn_on,"Éteignez <device_name1>, fermez <device_name2> et allumez <device_name3>",1
fan|fan,increase_speed|decrease_speed,Accélérez <device_name1> et ralentissez <device_name2>,1
