device_name,description
blinds.back_window,Jalousien für die Hinterfenster
blinds.keller,Kellerjalousien
blinds.badezimmer_1,Erste Badezimmerjalousien
blinds.badezimmer,Badezimmerjalousien
blinds.bastelraum,Bastelraumjalousien
blinds.esszimmer,Esszimmerjalousien
blinds.frontscheibe,Jalousien für die Vorderfenster
blinds.garage,Garagenjalousien
blinds.gäste_wc,Jalousien für das Gästebad
blinds.gästezimmer,Jalousien für Gästezimmer
blinds.flur_1,Erste Flurjalousien
blinds.flur_2,Jalousien im zweiten Flur
blinds.flur,Flurjalousien
blinds.ikea_smart,Intelligente Jalousien von Ikea
blinds.kinderzimmer,Jalousien für Kinderzimmer
blinds.kitchen_window,Jalousien für Küchenfenster
blinds.küche,Küchenjalousien
blinds.wohnzimmer_groß,Jalousien im Hauptwohnzimmer
blinds.wohnzimmer,Wohnzimmerjalousien
blinds.hauptschlafzimmer,Jalousien für das Hauptschlafzimmer
blinds.kindergarten,Kinderzimmerjalousien
blinds.büro,Bürojalousien
blinds.office_window,Jalousien für Bürofenster
blinds.terrasse,Terrassenjalousien
blinds.dachfenster,Oberlichtjalousien
blinds.dachfenster,Oberlichtjalousien
blinds.somfy_kitchen,Küchenjalousien
blinds.somfy_living,Wohnzimmerjalousien
blinds.wintergarten,Wintergartenjalousien
blinds.theater_raum,Jalousien für Heimkino
fan.dachboden_1,Dachbodenventilatoren
fan.dachboden_2,Dachbodenventilatoren
fan.dachboden_3,Dachbodenventilatoren
fan.dachbodenlüftung,Ventilator für Dachbodenlüftung
fan.dachboden,Dachbodenventilator
fan.hinterhof,Ventilator auf der hinteren Veranda
fan.balkon,Balkonventilator
fan.keller,Kellerventilator
fan.badezimmer_unten,Ventilator im Badezimmer im Erdgeschoss
fan.badezimmer,Badezimmerventilator
fan.schlafzimmer_master,Ventilator im Hauptschlafzimmer
fan.schlafzimmer_rechts,Schlafzimmerventilator auf der rechten Seite
fan.schlafzimmer,Schlafzimmerventilator
fan.decke_1,Deckenventilatoren
fan.decke_2,Deckenventilatoren
fan.essbereich,Ventilator für den Essbereich
fan.esszimmer,Esszimmerventilator
fan.dyson_pure,Dyson Pure Ventilator
fan.front_porch,Ventilator auf der Veranda
fan.garage_workshop,Garagen-Werkstatt-Fan
fan.garage,Garagenfan
fan.gästezimmer,Ventilator im Gästezimmer
fan.gästezimmer,Ventilator im Gästezimmer
fan.flur,Flurventilator
fan.honeywell_turbo,Honeywell Turbo-Lüfter
fan.indoor_fitnessstudio,Ventilator für den Innenbereich
fan.kinderzimmer,Ventilator für Kinderzimmer
fan.küche_1,Küchenventilatoren
fan.küche_2,Küchenventilatoren
fan.kücheninsel,Kühlender Küchenventilator
fan.küche,Küchenventilator
fan.wäschekammer,Ventilator für die Waschküche
fan.wohnzimmer_1,Wohnzimmerventilator
fan.wohnzimmer_2,Wohnzimmerventilator
fan.wohnzimmer_mitte,Zentraler Wohnzimmerventilator
fan.wohnzimmer,Wohnzimmerventilator
fan.master_bath,Master-Badezimmerventilator
fan.kindergarten,Kinderzimmer-Fan
fan.büro,Büro-Fan
fan.outdoor_küche,Küchenventilator für den Außenbereich
fan.outdoor_terrasse,Terrassenventilator für den Außenbereich
fan.draussen,Outdoor-Ventilator
fan.terrasse,Terrassenventilator
fan.veranda,Deckenventilator für die Veranda
fan.baracke,Schuppenventilator
fan.studie_1,Studienfan
fan.studie_2,Studienfan
fan.studie,Studienfan
garage_door.keller,Keller-Garagentür
garage_door.fahrradschuppen,Tür zum Fahrradschuppen
garage_door.fahrrad_aufbewahrung,Fahrradgarage
garage_door.boot,Garagentor für Boote
garage_door.boot,Lagertür für Boote
garage_door.carport,Carport-Garagentor
garage_door.carport,Carporttür
garage_door.chamberlain_1,Kammerherr
garage_door.chamberlain_2,Kammerherr
garage_door.golfwagen,Golfwagen-Garage
garage_door.golfwagen,Golfwagentür
garage_door.gewächshaus,Gewächshaustür
garage_door.gast,Gästegaragentor
garage_door.rasenausrüstung,Tür für Rasengeräte
garage_door.liftmaster_1,LiftMaster
garage_door.liftmaster_2,LiftMaster
garage_door.main_1,Primäres Garagentor
garage_door.hauptsächlich,Hauptgaragentor
garage_door.motorrad,Motorradgarage
garage_door.ein_auto,Garage für ein Auto
garage_door.pet_entry,Haustier-Eingangstür
garage_door.rv_storage,Stauraumtür für Wohnmobile
garage_door.rv,Wohnmobil-Garagentür
garage_door.schuppen_1,Erste Schuppentür
garage_door.schuppen_2,Zweite Schuppentür
garage_door.geschäft,Werkstatt Garagentor
garage_door.left_door,Linkes Garagentor
garage_door.seite_2,Seitliches Garagentor
garage_door.seite,Seitliches Garagentor
garage_door.ersatzteil,Ersatzgaragentor
garage_door.two_car,Garage für zwei Autos
garage_door.höheres_niveau,Garage auf der oberen Ebene
garage_door.weinkeller,Weinkellertür
light.above_esstisch,Esstischleuchte
light.aquarium,Aquariumlicht
light.dachboden,Dachbodenlicht
light.hinterhof,Hinterhoflicht
light.keller,Kellerlicht
light.badezimmer_1,Badezimmerleuchte
light.badezimmer_2,Badezimmerleuchte
light.badezimmerspiegel,Spiegellichter
light.badezimmer,Badezimmerleuchte
light.schlafzimmer_1,Schlafzimmerlicht
light.schlafzimmer_2,Schlafzimmerlicht
light.schlafzimmer_3,Schlafzimmerlicht
light.schlafzimmer,Schlafzimmerlicht
light.closet_under_stairs,Schranklicht unter der Treppe
light.deck_left,Linkes Decklicht
light.esszimmer_1,Esszimmerlicht
light.esszimmer_2,Esszimmerlicht
light.esszimmer_3,Esszimmerlicht
light.esszimmer,Esszimmerlicht
light.einfahrt_1,Erste Einfahrtsleuchte
light.auffahrt,Einfahrtslicht
light.front_porch,Verandalicht
light.vorgarten,Beleuchtung des Vorgartens
light.garage,Garagenlicht
light.garten_1,Gartenlicht
light.garten_2,Gartenlicht
light.gartenweg,Gartenwegbeleuchtung
light.garten,Gartenlicht
light.gästezimmer,Gästezimmerbeleuchtung
light.flur_oben,Licht im Flur im Obergeschoss
light.flur,Flurbeleuchtung
light.flur,Flurlicht
light.whirlpool,Whirlpool-Beleuchtung
light.küche_1,Hauptküchenlicht
light.küche_2,Zweites Küchenlicht
light.küchentheke,Küchenthekenleuchte
light.küchentheke,Küchenarbeitsplattenleuchten
light.küchentisch,Küchentischleuchte
light.küche,Küchenlicht
light.lifx_master,Meisterlicht
light.wohnzimmer_1,Wohnzimmerbeleuchtung
light.wohnzimmer_2,Wohnzimmerbeleuchtung
light.wohnzimmerdecke,Wohnzimmer-Deckenleuchte
light.wohnzimmerdecke,Helle Deckenleuchte
light.wohnzimmer,Wohnzimmerlicht
light.master_schlafzimmer_1,Hauptschlafzimmerbeleuchtung
light.master_schlafzimmer_2,Hauptschlafzimmerbeleuchtung
light.master_schlafzimmer_lampe,Hauptschlafzimmerlampe
light.kindergarten,Kinderzimmerlicht
light.büro_1,Bürolicht
light.büro_2,Bürolicht
light.schreibtisch,Büro-Schreibtischleuchte
light.büro,Bürolicht
light.draussen,Außenleuchten
light.terrasse_1,Terrassenleuchte für den Außenbereich
light.terrasse,Terrassenleuchten
light.terrasse,Terrassenlicht
light.philips_hue_1,Philips Hue
light.philips_hue_2,Philips Hue
light.schwimmbad,Poollicht
light.baracke,Bringen Sie Licht ins Dunkel
light.studie_1,Studienleuchten
light.studie_2,Studienleuchten
light.studie_3,Studienleuchten
light.studie,Studiere Licht
light.werkbank,Garagen-Werkbankleuchte
light.yeelight_smart,Yeelight Smart Light
light.upstairs_master_schlafzimmer_hue,Farbton des Hauptschlafzimmers im Obergeschoss
light.downstairs_guest_schlafzimmer_zigbee,Licht im Gästezimmer im Erdgeschoss
light.front_office_mqtt,Vorderes Bürolicht
light.back_family_room_warm,Zurück Familienzimmer Warmes Licht
light.kitchen_counter_cool,Kühles Licht für die Küchentheke
light.upstairs_bathroom_homekit,Badezimmerleuchte im Obergeschoss
light.downstairs_livingroom_lifx,Wohnzimmerleuchte im Erdgeschoss
light.front_porch_zwave,Verandalicht
light.side_hallway_hue,Farbton des Seitenflurs
light.garage_osram,Garage Osram
light.keller_workshop_mqtt,Keller-Werkstattleuchte
light.upstairs_children_schlafzimmer_zigbee,Kinderzimmerlampe im Obergeschoss
light.downstairs_master_schlafzimmer_homekit,Licht im Hauptschlafzimmer im Erdgeschoss
light.front_living_room_ge,Vorderes Wohnzimmerlicht
light.back_schlafzimmer_warm,Warmes Licht im hinteren Schlafzimmer
light.kitchen_island_cool,Kühles Licht der Kücheninsel
light.upstairs_hallway_zwave,Flurleuchte im Obergeschoss
light.downstairs_bathroom_warm,Warmes Licht im Badezimmer im Erdgeschoss
light.front_yard_osram,Vorgarten Osram
light.back_yard_zwave,Hinterhoflicht
light.upstairs_guest_schlafzimmer_zigbee,Licht im Gästezimmer im Obergeschoss
light.downstairs_office_mqtt,Bürolicht im Erdgeschoss
light.front_schlafzimmer_homekit,Schlafzimmerlicht vorn
light.back_office_lifx,Backoffice-Licht
light.kitchen_table_warm,Küchentisch warmes Licht
light.upstairs_tv_room_zigbee,TV-Raumlicht im Obergeschoss
light.downstairs_tv_room_homekit,TV-Raumbeleuchtung im Erdgeschoss
light.front_tv_room_ge,TV-Raumbeleuchtung vorn
light.back_tv_room_warm,Hinterer Fernsehraum mit warmem Licht
light.kitchen_sink_cool,Kühles Licht für die Küchenspüle
light.upstairs_pantry_zwave,Speisekammerbeleuchtung im Obergeschoss
light.downstairs_pantry_mqtt,Pantry-Licht im Erdgeschoss
light.front_pantry_homekit,Vordere Speisekammerbeleuchtung
light.back_pantry_lifx,Hintere Speisekammerbeleuchtung
light.kitchen_cabinet_warm,"Küchenschrank, warmes Licht"
light.upstairs_corridor_zigbee,Flurbeleuchtung im Obergeschoss
light.downstairs_corridor_mqtt,Flurlicht im Erdgeschoss
light.front_corridor_homekit,Vorderes Flurlicht
light.back_corridor_lifx,Hinteres Flurlicht
light.garage_workbench_cool,"Garagenwerkbank, kühles Licht"
light.upstairs_nursery_zwave,Kinderzimmerlampe im Obergeschoss
light.downstairs_nursery_mqtt,Kinderzimmerlicht im Erdgeschoss
light.front_nursery_homekit,Vorderes Kinderzimmerlicht
light.back_nursery_warm,Zurück Kinderzimmer warmes Licht
light.kitchen_ceiling_cool,Kühles Deckenlicht für die Küche
light.upstairs_lounge_zigbee,Lounge-Licht im Obergeschoss
light.downstairs_lounge_homekit,Lounge-Licht im Erdgeschoss
light.front_lounge_ge,Lounge-Licht vorn
light.back_lounge_warm,Warmes Licht im Back-Lounge-Bereich
light.keller_storage_cool,"Kelleraufbewahrung, kühles Licht"
light.upstairs_closet_zwave,Schranklicht im Obergeschoss
light.downstairs_closet_mqtt,Schranklicht im Erdgeschoss
light.front_closet_homekit,Vorderes Schranklicht
light.back_closet_warm,"Hinterer Schrank, warmes Licht"
light.upstairs_den_zigbee,Höhlenlicht im Obergeschoss
light.downstairs_den_homekit,Höhlenlicht im Erdgeschoss
light.front_den_ge,Vorderes Höhlenlicht
light.back_den_warm,Back Den Warmes Licht
light.kitchen_window_cool,Kühles Licht am Küchenfenster
light.upstairs_entryway_zwave,Eingangsbeleuchtung im Obergeschoss
light.downstairs_entryway_mqtt,Eingangsbeleuchtung im Erdgeschoss
light.front_entryway_homekit,Vordere Eingangsbeleuchtung
light.back_entryway_lifx,Hintere Eingangsbeleuchtung
light.kitchen_desk_warm,"Küchenschreibtisch, warmes Licht"
light.upstairs_mudroom_zigbee,Mudroom-Licht im Obergeschoss
light.downstairs_mudroom_homekit,Mudroom-Licht im Erdgeschoss
light.front_mudroom_ge,Vorderes Mudroom-Licht
light.back_mudroom_warm,Warmes Licht im hinteren Schlammraum
light.kitchen_floor_cool,Kühles Licht auf dem Küchenboden
light.upstairs_attic_zwave,Dachbodenleuchte im Obergeschoss
light.downstairs_attic_mqtt,Dachbodenbeleuchtung im Erdgeschoss
light.front_attic_homekit,Vordere Dachbodenleuchte
light.back_attic_lifx,Hintere Dachbodenleuchte
light.kitchen_drawer_warm,"Küchenschublade, warmes Licht"
light.upstairs_sunroom_zigbee,Licht im Wintergarten im Obergeschoss
light.downstairs_sunroom_homekit,Licht im Wintergarten im Erdgeschoss
light.front_sunroom_ge,Licht im vorderen Wintergarten
light.back_sunroom_warm,Hinterer Wintergarten mit warmem Licht
light.kitchen_rack_cool,Küchenregal Cool Light
light.upstairs_study_zwave,Arbeitszimmerlampe im Obergeschoss
light.downstairs_study_mqtt,Arbeitslicht im Erdgeschoss
light.front_study_homekit,Vorderes Studienlicht
light.back_study_lifx,Rückseitiges Studienlicht
light.kitchen_bar_warm,"Küchenbar, warmes Licht"
light.upstairs_dining_zigbee,Esszimmerlicht im Obergeschoss
light.downstairs_dining_homekit,Esszimmerlicht im Erdgeschoss
light.front_dining_ge,Esszimmerleuchte vorne
light.back_dining_warm,Zurück Essen warmes Licht
light.kitchen_wall_cool,Kühles Wandlicht für die Küche
light.upstairs_fireplace_zwave,Kaminlicht im Obergeschoss
light.downstairs_fireplace_mqtt,Kaminlicht im Erdgeschoss
light.front_fireplace_homekit,Kaminlicht vorne
light.back_fireplace_lifx,Hinteres Kaminlicht
light.kitchen_bookshelf_warm,"Küchen-Bücherregal, warmes Licht"
light.upstairs_sideyard_zigbee,Seitenlicht im Obergeschoss
light.downstairs_sideyard_homekit,Unten seitliches Hoflicht
light.front_sideyard_ge,Hoflicht vorne
light.back_sideyard_warm,Warmes Licht auf der Rückseite des Hofes
light.kitchen_cupboard_cool,"Küchenschrank, kühles Licht"
