duration,name
00:30:00,Ein halbe Stunde
01:00:00,Eine Stunde
00:15:00,Fünfzehn Minuten
02:00:00,Zwei Stunden
00:05:00,Fünf Minuten
00:45:00,Fünfundvierzig Minuten
03:30:00,Dreieinhalb Stunden
00:10:00,Zehn Minuten
01:30:00,Eineinhalb Stunden
04:00:00,Vier Stunden
00:20:00,Zwanzig Minuten
05:00:00,5 Stunden
00:02:00,Zwei Minuten
06:30:00,Sechseinhalb Stunden
00:50:00,Fünfzig Minuten
07:45:00,Sieben Stunden und fünfundvierzig Minuten
00:01:00,Eine Minute
08:00:00,Acht Stunden
00:40:00,Vierzig Minuten
09:15:00,Neun Stunden und fünfzehn Minuten
00:00:30,Dreißig Sekunden
00:00:45,Fünfundvierzig Sekunden
00:01:30,Eine Minute und dreißig Sekunden
00:02:30,Zwei Minuten und dreißig Sekunden
00:03:15,Drei Minuten und fünfzehn Sekunden
00:00:10,Zehn Sekunden
00:00:20,Zwanzig Sekunden
00:04:00,Vier Minuten
00:05:30,Fünf Minuten und dreißig Sekunden
00:06:45,Sechs Minuten und fünfundvierzig Sekunden
00:07:20,Sieben Minuten und zwanzig Sekunden
00:08:05,Acht Minuten und fünf Sekunden
00:10:00,Zehn Minuten
00:12:30,Zwölf Minuten und dreißig Sekunden
00:15:45,Fünfzehn Minuten und fünfundvierzig Sekunden
00:20:00,Zwanzig Minuten
00:25:00,Fünfundzwanzig Minuten
00:30:30,Dreißig Minuten und dreißig Sekunden
00:45:45,Fünfundvierzig Minuten und fünfundvierzig Sekunden
00:50:50,Fünfzig Minuten und fünfzig Sekunden
00:00:05,Fünf Sekunden
00:00:15,Fünfzehn Sekunden
00:00:25,Fünfundzwanzig Sekunden
00:00:35,Fünfunddreißig Sekunden
00:00:40,Vierzig Sekunden
00:00:45,Fünfundvierzig Sekunden
00:00:50,Fünfzig Sekunden
00:00:55,Fünfundfünfzig Sekunden
00:00:08,Acht Sekunden
00:00:12,Zwölf Sekunden
