device_type,service,english_phrase,assistant_response,multiplier
blinds,close,Close the <device_name>,Closing <device_name> for you,1
blinds,close,Lower the <device_name>,Lowering <device_name> now,1
blinds,close,Shut the <device_name>,Shutting <device_name> as requested,1
blinds,open,Lift the <device_name> blinds,Lifting <device_name> blinds as requested,1
blinds,open,Open the <device_name>,Opening <device_name> now,1
blinds,open,Raise the <device_name>,Raising <device_name> for you,1
blinds,stop,Freeze the <device_name>,Freezing <device_name> position,1
blinds,stop,Halt the <device_name>,Halting <device_name> now,1
blinds,stop,Stop the <device_name>,Stopping <device_name> operation,1
blinds,toggle,Flip the <device_name> state,Flipping <device_name> state now,1
blinds,toggle,Switch the <device_name> state,Switching <device_name> state as requested,1
blinds,toggle,Toggle the <device_name>,Toggling <device_name> for you,1
blinds|fan,close|turn_off,Close <device_name1> and deactivate <device_name2>,Lowering <device_name1> and stopping <device_name2>,1
blinds|fan,open|increase_speed,Raise the <device_name1> and speed up the <device_name2>,Raising <device_name1> and speeding up <device_name2>,1
blinds|light,open|turn_on,Raise <device_name1> and activate <device_name2>,Raising <device_name1> and turning on <device_name2>,1
fan,decrease_speed,Decrease the <device_name> speed,Reducing speed of <device_name>,1
fan,decrease_speed,Lower the <device_name> speed,Lowering speed of <device_name> as requested,1
fan,decrease_speed,Slow down the <device_name>,Slowing down <device_name> for you,1
fan,increase_speed,Increase the <device_name> speed,Increasing speed of <device_name>,1
fan,increase_speed,Ramp up the <device_name> speed,Ramping up <device_name> speed now,1
fan,increase_speed,Speed up the <device_name>,Speeding up <device_name> for you,1
fan,toggle,Flip the <device_name> on or off,Flipping <device_name> state for you,1
fan,toggle,Switch the <device_name> state,Switching <device_name> state as requested,1
fan,toggle,Toggle the <device_name>,Toggling <device_name> now,1
fan,turn_off,Deactivate the <device_name>,Deactivating <device_name> as requested,1
fan,turn_off,Stop the <device_name> please,Stopping <device_name> for you,1
fan,turn_off,Turn off the <device_name>,"Certainly, stopping <device_name>",1
fan,turn_on,Activate the <device_name>,Activating <device_name> now,1
fan,turn_on,Please start the <device_name>,Starting <device_name> for you,1
fan,turn_on,Turn on the <device_name>,"Certainly, starting <device_name>",1
fan|blinds,turn_off|open,Turn off <device_name1> and open <device_name2>,Stopping <device_name1> and raising <device_name2>,1
fan|blinds|garage_door,increase_speed|open|open,Speed up <device_name1> open <device_name2> and <device_name3>,Ramping up <device_name1> and lifting <device_name2> and <device_name3>,1
fan|blinds|light,decrease_speed|open|turn_off,Slow down <device_name1> open <device_name2> and turn off <device_name3>,Reducing speed of <device_name1> opening <device_name2> and deactivating <device_name3>,1
fan|blinds|light,turn_off|close|turn_on,Turn off <device_name1> close <device_name2> and turn on <device_name3>,Deactivating <device_name1> lowering <device_name2> and switching on <device_name3>,1
fan|fan,increase_speed|decrease_speed,Speed up <device_name1> and slow down <device_name2>,Increasing speed of <device_name1> and reducing <device_name2>,1
fan|fan,turn_on|turn_off,Turn on <device_name1> and turn off <device_name2>,Starting <device_name1> and stopping <device_name2>,1
fan|garage_door,increase_speed|close,Increase speed of <device_name1> and close <device_name2>,Speeding up <device_name1> and shutting <device_name2>,1
fan|garage_door|blinds,increase_speed|close|open,Speed up <device_name1> close <device_name2> and open <device_name3>,Increasing speed of <device_name1> shutting <device_name2> and raising <device_name3>,1
fan|garage_door|blinds,turn_on|close|close,Turn on <device_name1> close <device_name2> and <device_name3>,Starting <device_name1> and shutting <device_name2> and <device_name3>,1
fan|garage_door|light,turn_off|close|turn_off,Turn off <device_name1> and <device_name3> and close <device_name2>,Stopping <device_name1> and deactivating <device_name3> and lowering <device_name2>,1
fan|garage_door|lock,turn_off|close|lock,Turn off <device_name1> close <device_name2> and lock <device_name3>,Stopping <device_name1> closing <device_name2> and locking <device_name3>,1
fan|garage_door|lock,turn_on|open|unlock,Turn on <device_name1> open <device_name2> and unlock <device_name3>,Starting <device_name1> lifting <device_name2> and unlocking <device_name3>,1
fan|light,turn_on|turn_off,Activate <device_name1> and deactivate <device_name2>,Activating <device_name1> and turning off <device_name2>,1
fan|light|lock,decrease_speed|toggle|lock,Slow down <device_name1> toggle <device_name2> and lock <device_name3>,Reducing speed of <device_name1> flipping <device_name2> and securing <device_name3>,1
fan|lock,decrease_speed|unlock,Slow down the <device_name1> and unlock the <device_name2>,Slowing down <device_name1> and unlocking <device_name2>,1
garage_door,close,Close the <device_name>,Closing <device_name> now,1
garage_door,close,Lower the <device_name>,Lowering <device_name> for you,1
garage_door,close,Shut the <device_name>,Shutting <device_name> as requested,1
garage_door,open,Lift the <device_name>,Lifting <device_name> for you,1
garage_door,open,Open the <device_name>,Opening <device_name> now,1
garage_door,open,Raise the <device_name>,Raising <device_name> as requested,1
garage_door,stop,Freeze the <device_name>,Freezing <device_name> position now,1
garage_door,stop,Halt the <device_name>,"Certainly, halting <device_name>",1
garage_door,stop,Stop the <device_name>,Halting <device_name> operation,1
garage_door,toggle,Flip the <device_name> state,Flipping <device_name> state now,1
garage_door,toggle,Switch the <device_name> state,Switching <device_name> state as requested,1
garage_door,toggle,Toggle the <device_name>,Toggling <device_name> for you,1
garage_door|blinds,open|open,Open the <device_name1> and lift the <device_name2>,Opening <device_name1> and lifting <device_name2>,1
garage_door|fan,close|turn_off,Close <device_name1> and deactivate <device_name2>,Shutting <device_name1> and deactivating <device_name2>,1
garage_door|light,open|turn_on,Open <device_name1> and activate <device_name2>,Opening <device_name1> and switching on <device_name2>,1
