device_name,description
blinds.tylne_okno,Rolety na tylne okno
blinds.piwnica,Żaluzje piwniczne
blinds.łazienka_1,Pierwsze rolety łazienkowe
blinds.łazienka,Żaluzje łazienkowe
blinds.pokój_rzemieślniczy,Rolety pokoju roboczego
blinds.jadalnia,Rolety do jadalni
blinds.okno_przednie,Rolety na oknie z przodu
blinds.garaż,Żaluzje garażowe
blinds.łazienka_gościnna,Rolety w łazience dla gości
blinds.pokój_gościnny,Rolety w pokoju gościnnego
blinds.korytarz_1,Pierwsze rolety w przedpokoju
blinds.korytarz_2,Drugie rolety w przedpokoju
blinds.korytarz,Żaluzje w przedpokoju
blinds.ikea_smart,Inteligentne rolety z Ikei
blinds.pokój_dziecięcy,Rolety w pokoju dziecięcym
blinds.okno_kuchni,Rolety okienne kuchenne
blinds.kuchnia,Rolety kuchenne
blinds.salon_pokój_duży,Rolety w dużym pokoju
blinds.salon,Rolety w salonie
blinds.główna_sypialnia,Rolety w głównej sypialni
blinds.żłobek,Rolety w żlobku
blinds.biuro,Rolety  biurze
blinds.okno_biura,Żaluzje w biurze
blinds.patio,Żaluzje tarasowe
blinds.świetlik,Żaluzje świetlikowe
blinds.świetlik,Żaluzje świetlikowe
blinds.somfy_kuchnia,Rolety kuchenne
blinds.somfy_salon,Rolety w salonie
blinds.solarium,Rolety przeciwsłoneczne
blinds.sala_teatralna,Rolety do kina domowego
fan.poddasze_1,Wentylator na poddaszu
fan.poddasze_2,Wentylator na poddaszu
fan.poddasze_3,Wentylator na poddaszu
fan.wentylacja_poddasza,Wentylator na poddaszu
fan.strych,Wentylator na strychu
fan.tylny_ganek,Wentylator na tylnym ganku
fan.balkon,Wentylator balkonowy
fan.piwnica,Wentylator piwnicy
fan.łazienka_w_dół,Wentylator w łazience na parterze
fan.łazienka,Wentylator w łazience
fan.sypialnia_mistrz,Wentylator w głównej sypialni
fan.sypialnia_prawa,Wentylator w sypialni po prawej stronie
fan.sypialnia,Wentylator sypialni
fan.sufit_1,Wentylatory sufitowe
fan.sufit_2,Wentylatory sufitowe
fan.jadalnia,Wentylator w jadalni
fan.jadalnia,Wentylator w jadalni
fan.dyson_pure,Wentylator Dysona
fan.ganek,Wentylator na werandzie
fan.garaż_warsztat,Wentylator warsztatowy w garażu
fan.garaż,Wentylator w garażou
fan.pokój_gościnny,Wentylator w pokoju gościnnym
fan.pokój_gościnny,Wentylator w pokoju gościnnym
fan.korytarz,Wentylator w przedpokoju
fan.honeywell_turbo,Turbowentylator Honeywell
fan.sala_siłownia,Wentylator siłowni
fan.pokój_dziecięcy,Wentylator w pokoju dziecięcym
fan.kuchnia_1,Wentylator Kuchni
fan.kuchnia_2,Wentylator Kuchni
fan.wyspa_kuchenna,Chłodzący wentylator kuchenny
fan.kuchnia,Wenty w kuchni
fan.pralnia,Wentylator do pralni
fan.salon_1,Wentylator do salonu
fan.salon_2,Wentylator do salonu
fan.salon_pokoju_centrum,Centralny wentylator do salonu
fan.salon,Wentylator do salonu
fan.mistrz_kąpiel,Główny wentylator łazienkowy
fan.żłobek,Wentylatpor w żlobku
fan.biuro,Wentylator w biurze
fan.kuchnia_zewnętrzna,Wentylator kuchenny na świeżym powietrzu
fan.patio_na_świeżym_powietrzu,Wentylator ogrodowy
fan.na_wolnym_powietrzu,Wentylator zewnętrzny
fan.patio,Wentylator tarasowy
fan.ganek,Wentylator sufitowy na werandzie
fan.szopa,Wentylator szopy
fan.badanie_1,Miłośnik nauki
fan.badanie_2,Miłośnik nauki
fan.badanie,miłośnik nauki
garage_door.piwnica,Brama garażowa w piwnicy
garage_door.schowek_na_rower,Drzwi do szopy na rowery
garage_door.magazyn_rowerów,Garaż do przechowywania rowerów
garage_door.łódź,Drzwi garażowe dla łodzi
garage_door.łódź,Drzwi do przechowywania łodzi
garage_door.wiata_samochodowa,Brama garażowa wiaty
garage_door.wiata_samochodowa,Drzwi do wiaty
garage_door.szambelan_1,Drzwi garażowe Szambelan
garage_door.szambelan_2,Drzwi garażowe Szambelan
garage_door.wózek_golfowy,Garaż wózków golfowych
garage_door.wózek_golfowy,Drzwi do wózka golfowego
garage_door.szklarnia,Drzwi do szklarni
garage_door.gość,Brama garażowa dla gości
garage_door.sprzęt_trawnikowy,Drzwi do sprzętu trawnikowego
garage_door.główny_1,Główna brama garażowa
garage_door.główny,Główna brama garażowa
garage_door.motocykl,Drzwi Garażowe motocyklowe
garage_door.jeden_samochód,Pojedyncze drzwi garażowe
garage_door.wpis_zwierzaka,Drzwi wejściowe dla zwierząt
garage_door.rv_storage,Drzwi do przechowywania samochodu kempingowego
