duration,name
00:30:00,Pół godziny
01:00:00,Jedna godzina
00:15:00,Piętnaście minut
02:00:00,Dwie godziny
00:05:00,Pięć minut
00:45:00,Czterdzieści pięć minut
03:30:00,Trzy i pół godziny
00:10:00,Dziesięć minut
01:30:00,Półtorej godziny
04:00:00,Cztery godziny
00:20:00,Dwadzieścia minut
05:00:00,Pięć godzin
00:02:00,Dwie minuty
06:30:00,Sześć i pół godziny
00:50:00,Pięćdziesiąt minut
07:45:00,Siedem godzin i czterdzieści pięć minut
00:01:00,Jedna minuta
08:00:00,Osiem godzin
00:40:00,Czterdzieści minut
09:15:00,Dziewięć godzin i piętnaście minut
00:00:30,Trzydzieści sekund
00:00:45,Czterdzieści pięć sekund
00:01:30,Jedna minuta i trzydzieści sekund
00:02:30,Dwie minuty i trzydzieści sekund
00:03:15,Trzy minuty i piętnaście sekund
00:00:10,Dziesięć sekund
00:00:20,Dwadzieścia sekund
00:04:00,Cztery minuty
00:05:30,Pięć minut i trzydzieści sekund
00:06:45,Sześć minut i czterdzieści pięć sekund
00:07:20,Siedem minut i dwadzieścia sekund
00:08:05,Osiem minut i pięć sekund
00:10:00,Dziesięć minut
00:12:30,Dwanaście minut i trzydzieści sekund
00:15:45,Piętnaście minut i czterdzieści pięć sekund
00:20:00,Dwadzieścia minut
00:25:00,Dwadzieścia pięć minut
00:30:30,Trzydzieści minut i trzydzieści sekund
00:45:45,Czterdzieści pięć minut i czterdzieści pięć sekund
00:50:50,Pięćdziesiąt minut i pięćdziesiąt sekund
00:00:05,Pięć sekund
00:00:15,Piętnaście sekund
00:00:25,Dwadzieścia pięć sekund
00:00:35,Trzydzieści pięć sekund
00:00:40,Czterdzieści sekund
00:00:45,Czterdzieści pięć sekund
00:00:50,Pięćdziesiąt sekund
00:00:55,Pięćdziesiąt pięć sekund
00:00:08,Osiem sekund
00:00:12,Dwanaście sekund
