service_name,correct_device_name,correct_friendly_name,bad_device_name,phrase,error_result,retry_prompt
light.turn_on,light.living_room_lamp,Lampa w salonie,light.livng_room_lamp,"Proszę włącz <device_name>.","Błąd: encja light.livng_room_lamp nie została znaleziona.","Spróbuję zamiast tego lampy w salonie."
climate.set_temperature,climate.hallway,Termostat w korytarzu,climate.halway,"Ustaw <device_name> na <temp_f> stopni.","Błąd: encja climate.halway nie została znaleziona.","Ponawiam z termostatem w korytarzu."
fan.turn_off,fan.office,Wentylator w biurze,fan.offce,"Wyłącz <device_name>.","Błąd: encja fan.offce nie została znaleziona.","Spróbuję ponownie z wentylatorem w biurze."
light.toggle,light.kuchnia_półka_fajna,Półka kuchenna Fajne światło,light.kuchnia_fajna_półka,Włącz światło na półce w kuchni.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.kuchnia_fajna_półka', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję ponownie z urządzeniem light.kuchnia_półka_fajna.
climate.turn_on,climate.emerson_sensi_touch,Termostat Wi-Fi Emerson Sensi Touch,climate.emersonsens_touch,Włącz termostat w salonie.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='climate.emersonsens_touch', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję włączyć Termostat Wi‑Fi Emerson Sensi Touch.
climate.turn_off,climate.termostat_lux_geo,Termostat Lux Geo Wi-Fi,climate.lux_geo_termostat,Wyłącz termostat w salonie.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='climate.lux_geo_termostat', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję wyłączyć Termostat Lux Geo Wi‑Fi.
switch.turn_off,switch.oświetlenie_pokoju_gościnnego,Przełącznik świateł w pokoju gościnnym,switch.pokoju_oświetlenie_gościnnego,Wyłącz światło w pokoju gościnnym,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.pokoju_oświetlenie_gościnnego', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z przełącznikiem świateł w pokoju gościnnym.
climate.set_temperature,climate.ecobee_smart,Inteligentny termostat Ecobee,climate.ecobbe_smart,Ustaw temperaturę na <temp_f> stopni.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='climate.ecobbe_smart', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z właściwym termostatem (climate.ecobee_smart).
fan.increase_speed,fan.salon,Wentylator do salonu,fan.salon_plus,Zwiększ prędkość wentylatora w salonie.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.salon_plus', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję z właściwym wentylatorem.
blinds.open_cover,blinds.główna_sypialnia,Rolety w głównej sypialni,blinds.sypialnia_główna,Otwórz rolety w głównej sypialni.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='blinds.sypialnia_główna', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję z właściwym urządzeniem.
climate.set_temperature,climate.honeywell_lyric_t6,Honeywell Lyric T6 Pro,climate.honeywell_lyric_t6_backup,Ustaw temperaturę na <temp_f> stopni,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='climate.honeywell_lyric_t6_backup', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z urządzeniem climate.honeywell_lyric_t6.
blinds.stop_cover,blinds.salon_pokój_duży,Rolety w dużym pokoju,blinds.salon_pokój_duż,Zatrzymaj rolety w dużym pokoju.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='blinds.salon_pokój_duż', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję ponownie z urządzeniem blinds.salon_pokój_duży.
media_player.turn_on,media_player.wejście_asystent_głosu,Asystent głosowy przy wejściu,media_player.wejść_asystent_głosu,Włącz asystenta głosowego przy wejściu.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.wejść_asystent_głosu', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję włączyć Asystenta głosowego przy wejściu.
climate.turn_on,climate.johnson_glas,Johnson steruje inteligentnym termostatem GLAS,climate.johnson_glas_pro,Włącz termostat Johnson GLAS w salonie,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='climate.johnson_glas_pro', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję włączyć właściwy termostat Johnson GLAS.
climate.turn_on,climate.zen_wifi_termostat,Termostat Zen w wersji WiFi,climate.zen_wifii_termostat,Włącz termostat Zen w wersji WiFi.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='climate.zen_wifii_termostat', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z właściwym urządzeniem.
garage_door.close_cover,garage_door.wpis_zwierzaka,Drzwi wejściowe dla zwierząt,garage_door.wpis_zwierzaka_extra,Proszę zamknąć pokrywę drzwi wejściowych dla zwierząt.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='garage_door.wpis_zwierzaka_extra', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z właściwym urządzeniem.
lock.unlock,lock.przódowa_brama,Zamek bramy przedniej,lock.brama_przodowa,Odblokuj przednią bramę.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='lock.brama_przodowa', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję z Zamek bramy przedniej.
fan.increase_speed,fan.sala_siłownia,Wentylator siłowni,fan.sala_silownia,Zwiększ prędkość wentylatora w siłowni.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.sala_silownia', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję z Wentylatorem siłowni.
light.turn_off,light.przód_tv_room_ge,Przednie oświetlenie pokoju telewizyjnego,light.przód_tv_room_ge_extra,Wyłącz proszę przednie oświetlenie pokoju telewizyjnego.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.przód_tv_room_ge_extra', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję z prawidłowym urządzeniem.
media_player.volume_up,media_player.sonos_beam,Kompaktowy soundbar Sonos,media_player.sonos_beam_pro,Zwiększ głośność na moim soundbarze Sonos.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.sonos_beam_pro', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już poprawiam i zwiększam głośność na Sonos Beam.
blinds.open_cover,blinds.piwnica,Żaluzje piwniczne,blinds.piwnic,Otwórz żaluzje w piwnicy.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='blinds.piwnic', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z urządzeniem blinds.piwnica.
lock.unlock,lock.brama_schodowa,Zamek do bramy schodowej,lock.brama_schodow,"Odblokuj bramę schodową, proszę.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='lock.brama_schodow', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z właściwym zamkiem do bramy schodowej.
light.turn_off,light.na_dole_guest_bedroom_zigbee,Światło w sypialni dla gości na parterze,light.na_dole_guest_bedroom_zigbee_extra,Wyłącz światło w sypialni dla gości na parterze.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.na_dole_guest_bedroom_zigbee_extra', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję wyłączyć je przy użyciu właściwego urządzenia.
garage_door.close_cover,garage_door.motocykl,Drzwi Garażowe motocyklowe,garage_door.motocyklowy,"Proszę, zamknij pokrywę drzwi garażowych motocyklowych.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='garage_door.motocyklowy', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję z właściwym urządzeniem.
light.turn_on,light.na_górze_jadalnia_zigbee,Światło do jadalni na piętrze,light.na_górze_jadlania_zigbee,Włącz światło w jadalni na piętrze z jasnością 73 procent.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.na_górze_jadlania_zigbee', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z prawidłowym urządzeniem.
switch.toggle,switch.master_bedroom_lights,Główny włącznik świateł w sypialni,switch.master_bedroom_ligts,Przełącz główny włącznik świateł w sypialni.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.master_bedroom_ligts', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z urządzeniem switch.master_bedroom_lights.
