service,response_starting,response_confirmed,persona,short
blinds.open_cover,Już otwieram rolety.,Rolety są otwarte.,assistant,0
blinds.open_cover,Otwieram rolety.,Rolety są otwarte.,assistant,0
blinds.close_cover,"Zamykam rolety, już się tym zajmuję.","Rolety zostały zamknięte, jak prosiłeś.",assistant,0
blinds.open_cover,"Jasne, zaczynam otwierać rolety.","Jasne, rolety są już otwarte.",assistant,0
blinds.close_cover,Zasłaniam rolety.,Rolety zostały zasłonięte.,assistant,0
blinds.stop_cover,Zatrzymuję rolety.,Rolety zostały zatrzymane.,assistant,0
blinds.stop_cover,Zatrzymuję teraz rolety.,Rolety zostały zatrzymane.,assistant,0
blinds.close_cover,"Jasne, właśnie zasłaniam rolety.","Jasne, rolety są już zasłonięte.",assistant,0
blinds.toggle,Przełączam stan rolet.,Stan rolet został przełączony.,assistant,0
blinds.toggle,Zmieniam stan rolet.,Stan rolet został zmieniony.,assistant,0
blinds.toggle,Przesuwam rolety.,Rolety zostały przesunięte.,assistant,0
blinds.stop_cover,"Jasne, zaczynam wstrzymywać ruch rolet.",Ruch rolet został wstrzymany.,assistant,0
blinds.open_cover,Podnoszenie rolet <device_name> rozpoczęte.,Rolety <device_name> zostały podniesione.,assistant,0
blinds.open_cover,Otwieram teraz <device_name>,Udało się otworzyć <device_name>,assistant,0
blinds.open_cover,Podnoszę <device_name>,Podniosłem <device_name>,assistant,0
blinds.stop_cover,Zatrzymuję teraz <device_name>,Zatrzymałem <device_name>,assistant,0
blinds.stop_cover,Trwa blokowanie pozycji <device_name>.,Pozycja <device_name> zablokowana.,assistant,0
blinds.stop_cover,Zatrzymuję działanie <device_name>.,Zatrzymano działanie <device_name>.,assistant,0
blinds.close_cover,Zamykam <device_name> już.,Zamknąłem <device_name> za Ciebie.,assistant,0
blinds.close_cover,Zamykam <device_name> teraz.,Zamknąłem <device_name> zgodnie z żądaniem.,assistant,0
blinds.close_cover,Opuszczam teraz <device_name>,Opuszczono <device_name>,assistant,0
blinds.toggle,Zmieniam teraz stan <device_name>,Stan <device_name> został zmieniony,assistant,0
blinds.close_cover,Opuszczanie <device_name>...,Opuszczanie <device_name> zakończone.,assistant,0
blinds.open_cover,Podnoszę <device_name>.,<device_name> został podniesiony.,assistant,0
blinds.toggle,Przełączam stan <device_name>.,Stan <device_name> został przełączony.,assistant,0
blinds.toggle,Przełączam <device_name>.,Przełączono <device_name>.,assistant,0
blinds.toggle,Przełączam <device_name>.,Przełączono <device_name>.,assistant,0
climate.set_humidity,Zwiększam wilgotność do <humidity>.,Wilgotność została zwiększona do <humidity>.,assistant,0
climate.set_humidity,Ustawiam wilgotność na <humidity> procent.,Wilgotność została ustawiona na <humidity> procent.,assistant,0
climate.set_fan_mode,Ustawiam wentylator na <fan_mode>.,Wentylator ustawiony na <fan_mode>.,assistant,0
climate.set_humidity,Reguluję wilgotność na <humidity>%.,Wilgotność ustawiona na <humidity>%.,assistant,0
climate.set_fan_mode,Ustawiam prędkość wentylatora na <fan_mode>.,Ustawiono prędkość wentylatora na <fan_mode>.,assistant,0
climate.set_fan_mode,Ustawiam wentylator na <fan_mode>.,Wentylator został ustawiony na <fan_mode>.,assistant,0
climate.set_hvac_mode,Ustawiam HVAC na <hvac_mode>.,HVAC ustawiono na <hvac_mode>.,assistant,0
climate.set_hvac_mode,Przełączam do trybu <hvac_mode>.,Przełączono do trybu <hvac_mode>.,assistant,0
climate.set_hvac_mode,Zmiana trybu HVAC na tryb <hvac_mode> w toku.,Tryb HVAC został zmieniony na <hvac_mode>.,assistant,0
