device_type,service,phrase,multiplier
blinds,close_cover,Zamknij <device_name>,1
blinds,close_cover,Obniż <device_name>,1
blinds,close_cover,Zamknij <device_name>,1
blinds,open_cover,Podnieś rolety <device_name>,1
blinds,open_cover,Otwórz <device_name>,1
blinds,open_cover,Podnieś <device_name>,1
blinds,stop_cover,Zablokuj <device_name>,1
blinds,stop_cover,Zatrzymaj <device_name>,1
blinds,stop_cover,Zatrzymaj <device_name>,1
blinds,toggle,Odwróć stan <device_name>,1
blinds,toggle,Przełącz stan <device_name>,1
blinds,toggle,Przełącz <device_name>,1
blinds|fan,close_cover|turn_off,Zamknij <device_name1> i dezaktywuj <device_name2>,1
blinds|fan,open_cover|increase_speed,Podnieś <device_name1> i przyspiesz <device_name2>,1
blinds|light,open_cover|turn_on,Podnieś <device_name1> i aktywuj <device_name2>,1
fan,decrease_speed,Zmniejsz prędkość <device_name>,1
fan,decrease_speed,Zmniejsz prędkość <device_name>,1
fan,decrease_speed,Zwolnij <device_name>,1
fan,increase_speed,Zwiększ prędkość <device_name>,1
fan,increase_speed,Zwiększ prędkość <device_name>,1
fan,increase_speed,Przyspiesz <device_name>,1
fan,toggle,Włącz lub wyłącz urządzenie <device_name>,1
fan,toggle,Przełącz stan <device_name>,1
fan,toggle,Przełącz <device_name>,1
fan,turn_off,Dezaktywuj <device_name>,1
fan,turn_off,"Zatrzymaj <device_name>, proszę",1
fan,turn_off,Wyłącz <device_name>,1
fan,turn_on,Aktywuj <device_name>,1
fan,turn_on,Proszę uruchomić <device_name>,1
fan,turn_on,Włącz <device_name>,1
fan|blinds,turn_off|open_cover,Wyłącz <device_name1> i otwórz <device_name2>,1
fan|blinds|garage_door,increase_speed|open_cover|open_cover,Przyspiesz <device_name1> otwieranie <device_name2> i <device_name3>,1
fan|blinds|light,decrease_speed|open_cover|turn_off,Zwolnij <device_name1> otwórz <device_name2> i wyłącz <device_name3>,1
fan|blinds|light,turn_off|close_cover|turn_on,Wyłącz <device_name1> zamknij <device_name2> i włącz <device_name3>,1
fan|fan,increase_speed|decrease_speed,Przyspiesz <device_name1> i zwolnij <device_name2>,1
fan|fan,turn_on|turn_off,Włącz <device_name1> i wyłącz <device_name2>,1
fan|garage_door,increase_speed|close_cover,Zwiększ prędkość <device_name1> i zamknij <device_name2>,1
fan|garage_door|blinds,increase_speed|close_cover|open_cover,Przyspiesz <device_name1> zamknij <device_name2> i otwórz <device_name3>,1
fan|garage_door|blinds,turn_on|close_cover|close_cover,Włącz <device_name1> zamknij <device_name2> i <device_name3>,1
fan|garage_door|light,turn_off|close_cover|turn_off,Wyłącz <device_name1> i <device_name3> i zamknij <device_name2>,1
fan|garage_door|lock,turn_off|close_cover|lock,Wyłącz <device_name1> zamknij <device_name2> i zablokuj <device_name3>,1
fan|garage_door|lock,turn_on|open_cover|unlock,Włącz <device_name1> otwórz <device_name2> i odblokuj <device_name3>,1
fan|light,turn_on|turn_off,Aktywuj <device_name1> i dezaktywuj <device_name2>,1
fan|light|lock,decrease_speed|toggle|lock,Zwolnij <device_name1> przełącz <device_name2> i zablokuj <device_name3>,1
fan|lock,decrease_speed|unlock,Zwolnij <device_name1> i odblokuj <device_name2>,1
garage_door,close_cover,Zamknij <device_name>,1
garage_door,close_cover,Obniż <device_name>,1
garage_door,close_cover,Zamknij <device_name>,1
garage_door,open_cover,Podnieś <device_name>,1
garage_door,open_cover,Otwórz <device_name>,1
garage_door,open_cover,Podnieś <device_name>,1
garage_door,stop_cover,Zablokuj <device_name>,1
garage_door,stop_cover,Zatrzymaj <device_name>,1
garage_door,stop_cover,Zatrzymaj <device_name>,1
garage_door,toggle,Odwróć stan <device_name>,1
garage_door,toggle,Przełącz stan <device_name>,1
garage_door,toggle,Przełącz <device_name>,1
garage_door|blinds,open_cover|open_cover,Otwórz <device_name1> i podnieś <device_name2>,1
garage_door|fan,close_cover|turn_off,Zamknij <device_name1> i dezaktywuj <device_name2>,1
garage_door|light,open_cover|turn_on,Otwórz <device_name1> i aktywuj <device_name2>,1
garage_door|lock,open_cover|unlock,Otwórz <device_name1> i odblokuj <device_name2>,1
light,toggle,Włącz lub wyłącz urządzenie <device_name>,1
light,toggle,Przełącz stan <device_name>,1
light,toggle,Przełącz stan <device_name>,1
light,turn_off,Dezaktywuj <device_name>,1
light,turn_off,Proszę wyłączyć <device_name>,1
light,turn_off,Wyłącz <device_name>,1
light,turn_on,Aktywuj <device_name>,1
light,turn_on,Czy możesz włączyć <device_name>?,1
light,turn_on,Proszę włączyć <device_name>,1
light|blinds,turn_off|close_cover,Wyłącz <device_name1> i zamknij <device_name2>,1
light|blinds|fan,turn_on|close_cover|decrease_speed,Włącz <device_name1> zamknij <device_name2> i zwolnij <device_name3>,1
light|blinds|garage_door,turn_on|open_cover|close_cover,Włącz <device_name1> otwórz <device_name2> i zamknij <device_name3>,1
light|blinds|lock,turn_off|close_cover|lock,Wyłącz <device_name1> zamknij <device_name2> i zablokuj <device_name3>,1
light|blinds|lock,turn_off|close_cover|unlock,Wyłącz <device_name1> zamknij <device_name2> i odblokuj <device_name3>,1
light|fan,toggle|decrease_speed,Przełącz <device_name1> i zwolnij <device_name2>,1
light|fan,toggle|increase_speed,Przełącz <device_name1> i przyspiesz <device_name2>,1
light|fan,turn_off|turn_on,Wyłącz <device_name1> i włącz <device_name2>,1
light|fan,turn_on|toggle,Włącz <device_name1> i przełącz <device_name2>,1
light|fan,turn_on|turn_off,Włącz <device_name1> i wyłącz <device_name2>,1
light|fan,turn_on|turn_on,Włącz urządzenia <device_name1> i <device_name2>,1
light|fan,turn_on|turn_on,Włącz <device_name1> i <device_name2>,1
light|fan|blinds,toggle|increase_speed|open_cover,"Przełącz <device_name1>, przyspiesz <device_name2> i otwórz <device_name3>",1
light|fan|blinds,turn_off|decrease_speed|close_cover,"Wyłącz <device_name1>, zwolnij <device_name2> i zamknij <device_name3>",1
light|fan|blinds,turn_off|turn_off|close_cover,Wyłącz <device_name1> i <device_name2> i zamknij <device_name3>,1
light|fan|garage_door,toggle|decrease_speed|open_cover,"Przełącz <device_name1>, zwolnij <device_name2> i otwórz <device_name3>",1
light|fan|garage_door,turn_off|turn_on|close_cover,Wyłącz <device_name1> włącz <device_name2> i zamknij <device_name3>,1
light|fan|garage_door,turn_on|toggle|open_cover,"Włącz <device_name1>, obróć <device_name2> i podnieś <device_name3>",1
light|fan|garage_door,turn_on|turn_on|open_cover,Włącz <device_name1> i <device_name2> i otwórz <device_name3>,1
light|fan|lock,toggle|toggle|lock,Przełącz <device_name1> i <device_name2> i zablokuj <device_name3>,1
light|fan|lock,turn_off|turn_off|unlock,Wyłącz <device_name1> i <device_name2> i odblokuj <device_name3>,1
