device_name,description
blinds.ventana_trasera,Persianas de ventana trasera
blinds.sótano,Persianas del sótano
blinds.baño_1,primeras persianas de baño
blinds.baño,Persianas de baño
blinds.sala_de_arte,Persianas para salas de manualidades.
blinds.comedor,Persianas del comedor
blinds.ventana_frontal,Persianas de ventana delantera
blinds.cochera,Persianas de garaje
blinds.baño_de_visitas,Persianas para baños de visitas
blinds.habitación_de_huéspedes,Persianas para habitaciones de huéspedes
blinds.pasillo_1,Persianas del primer pasillo.
blinds.pasillo_2,Persianas del segundo pasillo
blinds.pasillo,Persianas de pasillo
blinds.ikea_inteligente,Persianas Inteligentes Ikea
blinds.habitación_niños,Estores para habitaciones infantiles
blinds.ventana_cocina,Persianas para ventana de cocina
blinds.cocina,Persianas de cocina
blinds.salón_grande,Persianas del salón principal
blinds.sala_de_estar,Persianas de salón
blinds.recamara_principal,Persianas del dormitorio principal
blinds.guardería,Persianas infantiles
blinds.oficina,Persianas de oficina
blinds.ventana_oficina,Persianas para ventanas de oficina
blinds.patio,Persianas para patio
blinds.claraboya,Persianas de tragaluz
blinds.claraboya,Persianas de tragaluz
blinds.cocina_somfy,Persianas de cocina
blinds.somfy_living,Persianas de salón
blinds.terraza_acristalada,Persianas para solárium
blinds.sala_de_teatro,persianas de cine en casa
fan.ático_1,Ventiladores del ático
fan.ático_2,Ventiladores del ático
fan.ático_3,Ventiladores del ático
fan.ventilación_ático,ventilador de ventilación del ático
fan.ático,Ventilador del ático
fan.porche_trasero,Ventilador del porche trasero
fan.balcón,ventilador de balcón
fan.sótano,Ventilador del sótano
fan.baño_abajo,Ventilador en el baño de abajo
fan.baño,ventilador de baño
fan.dormitorio_master,Ventilador del dormitorio principal
fan.dormitorio_derecho,Ventilador del dormitorio del lado derecho
fan.dormitorio,Ventilador de dormitorio
fan.techo_1,Ventiladores de techo
fan.techo_2,Ventiladores de techo
fan.comedor,Ventilador del comedor
fan.comedor,Ventilador de comedor
fan.dison_pure,Ventilador puro Dyson
fan.porche_delantero,Ventilador del porche delantero
fan.taller_garaje,Ventilador de taller de garaje.
fan.cochera,Ventilador de garaje
fan.cuarto_de_huéspedes,ventilador de la habitación de invitados
fan.habitación_de_huéspedes,Ventilador de la habitación de invitados
fan.pasillo,ventilador de pasillo
fan.honeywell_turbo,Ventilador turbo Honeywell
fan.gimnasio_interior,Ventilador de gimnasio interior
fan.habitación_niños,ventilador de la habitación de los niños
fan.cocina_1,Ventiladores de cocina
fan.cocina_2,Ventiladores de cocina
fan.isla_de_cocina,ventilador de cocina de refrigeración
fan.cocina,ventilador de cocina
fan.cuarto_de_lavado,ventilador de lavadero
fan.salón_1,ventilador de salón
fan.salón_2,ventilador de salón
fan.centro_sala_estar,Ventilador central para salón
fan.sala_de_estar,Ventilador de salón
fan.baño_principal,ventilador del baño principal
fan.guardería,Fanático de la guardería
fan.oficina,ventilador de oficina
fan.cocina_exterior,ventilador de cocina al aire libre
fan.patio_exterior,ventilador de patio al aire libre
fan.exterior,ventilador al aire libre
fan.patio,ventilador de patio
fan.porche,ventilador de techo para porche
fan.cobertizo,ventilador de cobertizo
fan.estudio_1,fanático del estudio
fan.estudio_2,fanático del estudio
fan.estudiar,fanático del estudio
garage_door.sótano,Puerta de garaje del sótano
garage_door.cobertizo_para_bicicletas,Puerta del cobertizo para bicicletas
garage_door.almacenamiento_bicicletas,Garaje para guardar bicicletas
garage_door.bote,Puerta de garaje para barcos
garage_door.bote,Puerta de almacenamiento para barcos
garage_door.cochera,Puerta de garaje
