duration,name
00:30:00,Media hora
01:00:00,Una hora
00:15:00,Quince minutos
02:00:00,Dos horas
00:05:00,Cinco minutos
00:45:00,Cuarenta y cinco minutos
03:30:00,Tres horas y media
00:10:00,Diez minutos
01:30:00,Una hora y media
04:00:00,Cuatro horas
00:20:00,Veinte minutos
05:00:00,Cinco horas
00:02:00,Dos minutos
06:30:00,Seis horas y media
00:50:00,Cincuenta minutos
07:45:00,Siete horas y cuarenta y cinco minutos
00:01:00,Un minuto
08:00:00,Ocho horas
00:40:00,Cuarenta minutos
09:15:00,Nueve horas y quince minutos
00:00:30,Treinta segundos
00:00:45,cuarenta y cinco segundos
00:01:30,Un minuto y treinta segundos.
00:02:30,Dos minutos y treinta segundos
00:03:15,Tres minutos y quince segundos
00:00:10,Diez segundos
00:00:20,veinte segundos
00:04:00,Cuatro minutos
00:05:30,Cinco minutos y treinta segundos
00:06:45,Seis minutos y cuarenta y cinco segundos
00:07:20,Siete minutos y veinte segundos
00:08:05,Ocho minutos y cinco segundos
00:10:00,Diez minutos
00:12:30,Doce minutos y treinta segundos
00:15:45,Quince minutos y cuarenta y cinco segundos
00:20:00,Veinte minutos
00:25:00,veinticinco minutos
00:30:30,Treinta minutos y treinta segundos.
00:45:45,Cuarenta y cinco minutos y cuarenta y cinco segundos.
00:50:50,Cincuenta minutos y cincuenta segundos
00:00:05,Cinco segundos
00:00:15,quince segundos
00:00:25,veinticinco segundos
00:00:35,treinta y cinco segundos
00:00:40,cuarenta segundos
00:00:45,cuarenta y cinco segundos
00:00:50,Cincuenta segundos
00:00:55,cincuenta y cinco segundos
00:00:08,Ocho segundos
00:00:12,Doce segundos
