service,response_starting,response_confirmed,persona,short
blinds.close_cover,Cerrando las persianas ahora.,Las persianas están cerradas.,assistant,0
blinds.open_cover,"Claro, abriendo las persianas ahora.","Claro, las persianas ya están abiertas.",assistant,0
blinds.open_cover,Abriendo las persianas ahora.,Las persianas están abiertas.,assistant,0
blinds.open_cover,Seguiré adelante y estoy abriendo las persianas.,Las persianas están abiertas.,assistant,0
blinds.close_cover,Cerrando las persianas ahora.,Las persianas están cerradas.,assistant,0
blinds.close_cover,"Claro, cerrando las persianas ahora.","Listo, las persianas están cerradas.",assistant,0
blinds.stop_cover,Deteniendo las persianas ahora.,Las persianas se han detenido.,assistant,0
blinds.stop_cover,Deteniendo las persianas por ti.,He detenido las persianas por ti.,assistant,0
blinds.toggle,Cambiando el estado de las persianas ahora.,El estado de las persianas ha sido cambiado.,assistant,0
blinds.stop_cover,"Claro, deteniendo el movimiento de las persianas ahora.","Listo, el movimiento de las persianas se ha detenido.",assistant,0
blinds.toggle,Estoy cambiando el estado de las persianas.,El estado de las persianas ha sido cambiado.,assistant,0
blinds.open_cover,Levantando las persianas <device_name> según lo solicitado.,Las persianas <device_name> están levantadas según lo solicitado.,assistant,0
blinds.toggle,Cambiando las persianas por ti.,Las persianas están cambiadas.,assistant,0
blinds.open_cover,Abriendo <device_name> ahora.,Ya he abierto <device_name>.,assistant,0
blinds.open_cover,Levantando <device_name> ahora.,<device_name> ha sido levantado.,assistant,0
blinds.stop_cover,Deteniendo <device_name> ahora,Se ha detenido <device_name>,assistant,0
blinds.stop_cover,Deteniendo la operación <device_name> ahora.,Operación de <device_name> detenida.,assistant,0
blinds.stop_cover,Congelando la posición <device_name> ahora.,La posición <device_name> ha sido congelada.,assistant,0
blinds.open_cover,Levantando <device_name> ahora.,He levantado <device_name>.,assistant,0
blinds.close_cover,Bajando <device_name> ahora,Ya bajé <device_name>.,assistant,0
blinds.close_cover,Cerrando <device_name> ahora según lo solicitado.,He cerrado <device_name> según lo solicitado.,assistant,0
blinds.close_cover,Cerrando <device_name> por usted.,He cerrado <device_name> por usted.,assistant,0
blinds.close_cover,Bajando <device_name> ahora.,He bajado <device_name>.,assistant,0
blinds.toggle,Cambiando el estado de <device_name> ahora.,El estado de <device_name> ha sido cambiado.,assistant,0
blinds.toggle,Alternando <device_name> ahora.,He alternado <device_name> por usted.,assistant,0
blinds.toggle,Cambiando el estado de <device_name> ahora.,El estado de <device_name> se ha cambiado según lo solicitado.,assistant,0
climate.set_humidity,Aumentando la humedad a <humidity> ahora.,La humedad ha sido aumentada a <humidity>.,assistant,0
blinds.toggle,Alternando <device_name>...,<device_name> alternado.,assistant,0
climate.set_humidity,Estableciendo la humedad en <humidity> por ciento.,La humedad se ha establecido en <humidity> por ciento.,assistant,0
climate.set_humidity,Ajustando la humedad a <humidity>%.,La humedad se ha ajustado a <humidity>%.,assistant,0
climate.set_fan_mode,Configurando el ventilador a la velocidad <fan_mode>.,El ventilador está configurado a la velocidad <fan_mode>.,assistant,0
climate.set_fan_mode,Poniendo el ventilador en <fan_mode>.,El ventilador está en <fan_mode>.,assistant,0
climate.set_fan_mode,Cambiando el ventilador a la configuración <fan_mode>.,El ventilador ya está en la configuración <fan_mode>.,assistant,0
climate.set_hvac_mode,Cambiando al modo <hvac_mode>.,Modo <hvac_mode> activado.,assistant,0
climate.set_hvac_mode,Cambiando HVAC al modo <hvac_mode> ahora.,HVAC cambiado al modo <hvac_mode>.,assistant,0
climate.set_hvac_mode,Configurando el HVAC en <hvac_mode>.,El HVAC está configurado en <hvac_mode>.,assistant,0
climate.set_temperature,Estableciendo la temperatura en <temp_f> grados.,La temperatura se ha establecido en <temp_f> grados.,assistant,0
climate.set_temperature,Cambiando la temperatura a <temp_c> Celsius ahora.,La temperatura se ha ajustado a <temp_c> Celsius.,assistant,0
climate.set_temperature,Configurando la habitación a <temp_f> grados Fahrenheit.,La habitación está configurada a <temp_f> grados Fahrenheit.,assistant,0
climate.set_temperature,Ajustando la temperatura a <temp_f> grados Fahrenheit.,Temperatura ajustada a <temp_f> grados Fahrenheit.,assistant,0
climate.set_temperature,Bajando la temperatura a <temp_c> Celsius ahora.,Ya bajé la temperatura a <temp_c> Celsius.,assistant,0
climate.set_temperature,Configurando la habitación a <temp_c> grados Celsius para una temperatura más fresca.,La habitación está ahora a <temp_c> grados Celsius para una temperatura más fresca.,assistant,0
climate.set_temperature,"Haciendo más cálido, ajustando la temperatura a <temp_f> grados.","Listo, la temperatura está ajustada a <temp_f> grados y hace más calor.",assistant,0
climate.set_temperature,Elevando la temperatura a <temp_f> grados Fahrenheit.,La temperatura ha sido elevada a <temp_f> grados Fahrenheit.,assistant,0
fan.turn_on,Encendiendo el ventilador ahora.,El ventilador está encendido.,assistant,0
fan.turn_on,Poniendo el ventilador en marcha por ti.,El ventilador ya está en marcha.,assistant,0
fan.turn_off,Apagando el ventilador según lo solicitado.,El ventilador está apagado según lo solicitado.,assistant,0
fan.turn_on,"Claro, estoy encendiendo el ventilador ahora.","Listo, el ventilador está encendido.",assistant,0
fan.turn_off,Apagando el ventilador por ti.,He apagado el ventilador.,assistant,0
fan.turn_off,"Bien, apagando el ventilador ahora.","Listo, el ventilador está apagado.",assistant,0
fan.toggle,Cambiando el ventilador ahora.,El ventilador ha sido cambiado.,assistant,0
fan.toggle,Cambiando el estado del ventilador por ti.,He cambiado el estado del ventilador por ti.,assistant,0
fan.toggle,Cambiando el estado del ventilador ahora.,El estado del ventilador se ha actualizado.,assistant,0
fan.increase_speed,Aumentando la velocidad del ventilador ahora.,He aumentado la velocidad del ventilador para usted.,assistant,0
fan.increase_speed,"Claro, estoy acelerando el ventilador.","Listo, el ventilador está acelerado.",assistant,0
fan.increase_speed,Estoy aumentando la velocidad del ventilador.,El ventilador ya está más rápido.,assistant,0
fan.decrease_speed,Reduciendo la velocidad del ventilador ahora.,La velocidad del ventilador ha sido reducida según lo solicitado.,assistant,0
fan.decrease_speed,Reduciendo la velocidad del ventilador por ti.,He reducido la velocidad del ventilador.,assistant,0
fan.toggle,Cambiando el estado de <device_name> ahora.,El estado de <device_name> ha sido cambiado según lo solicitado.,assistant,0
fan.decrease_speed,"Claro, estoy disminuyendo la velocidad del ventilador.","Claro, la velocidad del ventilador se ha disminuido.",assistant,0
fan.toggle,Cambiando el estado de <device_name> ahora,El estado de <device_name> ha sido cambiado,assistant,0
fan.toggle,Alternando <device_name> ahora,He alternado <device_name>.,assistant,0
fan.turn_on,Activando <device_name> ahora,<device_name> está activado.,assistant,0
fan.turn_on,Iniciando <device_name> por usted,He iniciado <device_name> por usted,assistant,0
fan.turn_on,"Ciertamente, iniciando <device_name>","Ciertamente, <device_name> está encendido",assistant,0
fan.turn_on,Activando <device_name>,He activado <device_name>,assistant,0
fan.turn_on,Iniciando <device_name>,"Listo, <device_name> está encendido.",assistant,0
fan.turn_off,Desactivando <device_name> ahora.,He desactivado <device_name> según lo solicitado.,assistant,0
fan.turn_off,Deteniendo <device_name> ahora.,He detenido <device_name> por usted.,assistant,0
fan.turn_off,Apagando <device_name>,<device_name> está apagado,assistant,0
fan.turn_off,"Ciertamente, deteniendo <device_name>.",He detenido <device_name>.,assistant,0
fan.decrease_speed,Reduciendo la velocidad de <device_name> según lo solicitado.,La velocidad de <device_name> ha sido reducida según lo solicitado.,assistant,0
fan.decrease_speed,Reduciendo la velocidad de <device_name>.,Velocidad de <device_name> reducida.,assistant,0
fan.increase_speed,Aumento la velocidad de <device_name> ahora.,He aumentado la velocidad de <device_name>.,assistant,0
fan.decrease_speed,Ralentizando <device_name> por ti.,He ralentizado <device_name> por ti.,assistant,0
fan.increase_speed,Acelerando <device_name> para usted,He acelerado <device_name> para usted,assistant,0
fan.decrease_speed,Reduciendo la velocidad de <device_name>.,La velocidad de <device_name> ha sido reducida.,assistant,0
fan.increase_speed,Aumentando la velocidad de <device_name> ahora,La velocidad de <device_name> se ha aumentado,assistant,0
fan.increase_speed,Aumentando la velocidad de <device_name>,Velocidad de <device_name> aumentada,assistant,0
garage_door.open_cover,Abriendo la puerta del garaje ahora.,La puerta del garaje está abierta.,assistant,0
garage_door.open_cover,"Claro, estoy abriendo la puerta del garaje.",La puerta del garaje está abierta.,assistant,0
garage_door.close_cover,Cerrando la puerta del garaje ahora.,La puerta del garaje está cerrada.,assistant,0
garage_door.open_cover,Abriendo la puerta del garaje ahora.,La puerta del garaje está abierta.,assistant,0
garage_door.close_cover,Cerrando la puerta del garaje.,La puerta del garaje está cerrada.,assistant,0
garage_door.close_cover,"Claro, cerrando la puerta del garaje ahora.","Listo, la puerta del garaje está cerrada.",assistant,0
garage_door.stop_cover,Deteniendo la puerta del garaje ahora.,La puerta del garaje está detenida.,assistant,0
garage_door.stop_cover,"Claro, estoy deteniendo el movimiento de la puerta del garaje.","Listo, he detenido el movimiento de la puerta del garaje.",assistant,0
garage_door.toggle,Alternando el estado de la puerta del garaje ahora.,He alternado el estado de la puerta del garaje por usted.,assistant,0
garage_door.stop_cover,Deteniendo la puerta del garaje por ti.,He detenido la puerta del garaje.,assistant,0
garage_door.toggle,Cambiando el estado de la puerta del garaje ahora.,He cambiado el estado de la puerta del garaje.,assistant,0
garage_door.toggle,Cambiando el estado de la puerta del garaje ahora.,El estado de la puerta del garaje se ha cambiado.,assistant,0
garage_door.open_cover,Levantando <device_name> ahora.,He levantado <device_name> por usted.,assistant,0
garage_door.open_cover,Abriendo <device_name> ahora.,He abierto <device_name>.,assistant,0
garage_door.open_cover,Levantando <device_name> ahora.,He levantado <device_name> según lo solicitado.,assistant,0
garage_door.stop_cover,Congelando la posición <device_name> ahora.,Posición <device_name> congelada.,assistant,0
garage_door.stop_cover,Deteniendo la operación <device_name> ahora.,Operación <device_name> detenida.,assistant,0
garage_door.open_cover,Abriendo <device_name> ahora.,Ya he abierto <device_name>.,assistant,0
garage_door.stop_cover,"Ciertamente, deteniendo <device_name>.","Ciertamente, <device_name> detenido.",assistant,0
garage_door.stop_cover,Deteniendo <device_name> ahora.,He detenido <device_name>.,assistant,0
garage_door.close_cover,Cerrando <device_name> según lo solicitado.,<device_name> está cerrado según lo solicitado.,assistant,0
garage_door.close_cover,Bajando <device_name> por usted.,He bajado <device_name> por usted.,assistant,0
garage_door.close_cover,Cerrando <device_name> ahora.,Se ha cerrado <device_name>.,assistant,0
garage_door.close_cover,Cerrando <device_name> ahora.,Ya he cerrado <device_name>.,assistant,0
garage_door.toggle,Cambiando el estado de <device_name> ahora según lo solicitado,El estado de <device_name> ha sido cambiado según lo solicitado,assistant,0
garage_door.toggle,Cambiando el estado de <device_name> ahora.,He cambiado el estado de <device_name>.,assistant,0
light.turn_on,Encendiendo la luz ahora.,La luz está encendida.,assistant,0
garage_door.toggle,Alternando <device_name>...,<device_name> alternado.,assistant,0
light.turn_on,"Claro, estoy encendiendo la luz.","Listo, la luz está encendida.",assistant,0
garage_door.toggle,Alternando <device_name> ahora.,He alternado <device_name> por usted.,assistant,0
light.turn_off,Apagando la luz según lo solicitado.,La luz está apagada según lo solicitado.,assistant,0
light.turn_off,Apagando la luz.,La luz está apagada.,assistant,0
light.turn_off,"Claro, apagando la luz ahora.","Claro, la luz está apagada.",assistant,0
light.turn_on,"Siguiendo adelante, encendiendo la luz.",La luz se ha encendido.,assistant,0
light.toggle,Cambiando la luz ahora.,La luz ha sido cambiada.,assistant,0
light.toggle,Cambiando el estado de la luz ahora.,He cambiado el estado de la luz.,assistant,0
light.toggle,Encendiendo la luz por ti.,La luz está encendida.,assistant,0
light.toggle,Invirtiendo el estado <device_name>...,Estado de <device_name> invertido.,assistant,0
light.toggle,Alternando <device_name> ahora.,He alternado <device_name>.,assistant,0
light.toggle,Cambiando el estado de <device_name> ahora.,El estado de <device_name> ha sido cambiado según lo solicitado.,assistant,0
light.toggle,Alternando <device_name>,He alternado <device_name>,assistant,0
light.turn_on,"Ciertamente, activando <device_name> ahora.",He activado <device_name>.,assistant,0
light.turn_on,Activación de <device_name> en curso,Activación de <device_name> completada,assistant,0
light.turn_on,Activando <device_name> por usted.,He activado <device_name> por usted.,assistant,0
light.turn_on,Activando <device_name> ahora.,He activado <device_name>.,assistant,0
light.turn_on,Activando <device_name> ahora.,El <device_name> está activado.,assistant,0
light.turn_on,Estableciendo el brillo de <device_name> en <brightness>%.,El brillo de <device_name> se ha establecido en <brightness>%.,assistant,0
light.turn_on,Iluminando <device_name> al <brightness>% ahora.,He iluminado <device_name> al <brightness>%.,assistant,0
light.turn_on,Atenuando <device_name> al <brightness>% de brillo.,"Listo, <device_name> al <brightness>% de brillo.",assistant,0
light.turn_on,Ajustando el brillo de <device_name> a <brightness>.,El brillo de <device_name> se ha ajustado a <brightness>.,assistant,0
light.turn_on,Estableciendo el nivel de brillo de <device_name> en <brightness>%...,El nivel de brillo de <device_name> se ha ajustado a <brightness>%.,assistant,0
light.turn_on,Bajando el brillo de <device_name> a <brightness>.,He bajado el brillo de <device_name> a <brightness>.,assistant,0
light.turn_on,Aumentando el brillo de <device_name> a <brightness> ahora.,El brillo de <device_name> se ha ajustado a <brightness>.,assistant,0
light.turn_on,Estableciendo <device_name> en <brightness>% de brillo.,He establecido <device_name> en <brightness>% de brillo.,assistant,0
light.turn_on,Girando <device_name> <color> ahora.,He girado <device_name> <color>.,assistant,0
light.turn_on,Cambiando el color de <device_name> a <color>...,El color de <device_name> se ha cambiado a <color>.,assistant,0
light.turn_on,Cambiando <device_name> a un tono <color>.,<device_name> ya está en tono <color>.,assistant,0
light.turn_on,Haciendo que <device_name> brille en <color>.,<device_name> ya está brillando en <color>.,assistant,0
light.turn_on,Configurando <device_name> como <color>.,He configurado <device_name> como <color>.,assistant,0
light.turn_on,Encendiendo <device_name> a un tono <color>.,<device_name> está encendido con tono <color>.,assistant,0
light.turn_on,Estableciendo <device_name> en un <color> ahora.,He establecido <device_name> en un <color>.,assistant,0
light.turn_on,Estableciendo <device_name> en un color <color>.,He establecido <device_name> en un color <color>.,assistant,0
light.turn_on,Haciendo que <device_name> brille en <color>.,"Listo, <device_name> ahora brilla en <color>.",assistant,0
light.turn_on,Encendiendo <device_name> a <color>.,<device_name> está a <color>.,assistant,0
light.turn_on,Cambiando <device_name> a <color>.,"Listo, <device_name> está ahora en <color>.",assistant,0
light.turn_on,Ajustando <device_name> al color <color>...,"Listo, <device_name> está ahora en color <color>.",assistant,0
light.turn_on,Cambiando el color de <device_name> a <color> ahora.,He cambiado el color de <device_name> a <color>.,assistant,0
